"","Squad","Period","xG"
"1","Angers","0-15",5.15536438906565
"2","Angers","15-30",5.33522736188024
"3","Angers","30-45",10.7510960325599
"4","Angers","45-60",7.44724312797189
"5","Angers","60-75",7.90048505458981
"6","Angers","75-90",8.98019729088992
"7","Bordeaux","0-15",6.66429985221475
"8","Bordeaux","15-30",5.97503981087357
"9","Bordeaux","30-45",7.57766067329794
"10","Bordeaux","45-60",6.58500361721963
"11","Bordeaux","60-75",5.64018473168835
"12","Bordeaux","75-90",13.9951039198786
"13","Brest","0-15",5.9464576235041
"14","Brest","15-30",7.69692948320881
"15","Brest","30-45",3.92023546434939
"16","Brest","45-60",8.95432089455426
"17","Brest","60-75",10.4403528831899
"18","Brest","75-90",8.37239284440875
"19","Clermont Foot","0-15",7.00346382148564
"20","Clermont Foot","15-30",3.82469533011317
"21","Clermont Foot","30-45",5.85163238923997
"22","Clermont Foot","45-60",9.63036496099085
"23","Clermont Foot","60-75",7.70025887899101
"24","Clermont Foot","75-90",8.9005044400692
"25","Lens","0-15",7.44114239513874
"26","Lens","15-30",8.08340891078115
"27","Lens","30-45",9.65401481278241
"28","Lens","45-60",9.8443872500211
"29","Lens","60-75",4.33931857347488
"30","Lens","75-90",13.4424379197881
"31","Lille","0-15",8.56961780879647
"32","Lille","15-30",10.163240717724
"33","Lille","30-45",6.61523655429482
"34","Lille","45-60",9.48646513093263
"35","Lille","60-75",10.1381961321458
"36","Lille","75-90",11.9541927836835
"37","Lorient","0-15",5.45977669674903
"38","Lorient","15-30",4.62245519040152
"39","Lorient","30-45",6.53185931500047
"40","Lorient","45-60",7.45554405543953
"41","Lorient","60-75",7.85803704103455
"42","Lorient","75-90",7.7866283338517
"43","Lyon","0-15",8.69108528550714
"44","Lyon","15-30",10.4820597404614
"45","Lyon","30-45",10.7441087616608
"46","Lyon","45-60",15.1640637624077
"47","Lyon","60-75",13.4424494775012
"48","Lyon","75-90",16.7565788617358
"49","Marseille","0-15",8.45757855847478
"50","Marseille","15-30",9.97275029029697
"51","Marseille","30-45",9.31389947561547
"52","Marseille","45-60",9.8287987690419
"53","Marseille","60-75",11.8874589242041
"54","Marseille","75-90",10.5549449198879
"55","Metz","0-15",3.82285686582327
"56","Metz","15-30",5.7431027200073
"57","Metz","30-45",4.48776180157438
"58","Metz","45-60",6.16823771316558
"59","Metz","60-75",3.93620697315782
"60","Metz","75-90",6.14641675725579
"61","Monaco","0-15",8.74606492463499
"62","Monaco","15-30",7.65025697648525
"63","Monaco","30-45",12.0312478719279
"64","Monaco","45-60",10.868038918823
"65","Monaco","60-75",11.4730721022934
"66","Monaco","75-90",13.0928891468793
"67","Montpellier","0-15",5.5552435349673
"68","Montpellier","15-30",4.64754478540272
"69","Montpellier","30-45",8.12896644696593
"70","Montpellier","45-60",9.46599923074245
"71","Montpellier","60-75",7.51541672833264
"72","Montpellier","75-90",8.38412586739287
"73","Nantes","0-15",4.61315614636987
"74","Nantes","15-30",7.377685864456
"75","Nantes","30-45",9.77249222993851
"76","Nantes","45-60",9.43971368577331
"77","Nantes","60-75",7.44032502453774
"78","Nantes","75-90",7.50483612902462
"79","Nice","0-15",6.83531116228551
"80","Nice","15-30",7.24373666197062
"81","Nice","30-45",10.6667738915421
"82","Nice","45-60",11.2613494088873
"83","Nice","60-75",10.1649656193331
"84","Nice","75-90",14.4449246046133
"85","Paris Saint Germain","0-15",10.6715870695189
"86","Paris Saint Germain","15-30",14.7581162722781
"87","Paris Saint Germain","30-45",9.4078894816339
"88","Paris Saint Germain","45-60",16.6811888497323
"89","Paris Saint Germain","60-75",17.8586826808751
"90","Paris Saint Germain","75-90",14.4141046036966
"91","Reims","0-15",4.87104728911072
"92","Reims","15-30",7.25299849966541
"93","Reims","30-45",5.72100295592099
"94","Reims","45-60",6.67965530790389
"95","Reims","60-75",6.31084986310452
"96","Reims","75-90",10.2372340708971
"97","Rennes","0-15",9.96888594143093
"98","Rennes","15-30",13.1319419890642
"99","Rennes","30-45",10.4737666221336
"100","Rennes","45-60",13.7573844562285
"101","Rennes","60-75",8.98077575210482
"102","Rennes","75-90",13.0314696133137
"103","Saint-Etienne","0-15",4.67712981253862
"104","Saint-Etienne","15-30",4.59770297352225
"105","Saint-Etienne","30-45",5.84097468620166
"106","Saint-Etienne","45-60",5.05436435434967
"107","Saint-Etienne","60-75",9.45891590137035
"108","Saint-Etienne","75-90",10.7069419729523
"109","Strasbourg","0-15",7.19026759173721
"110","Strasbourg","15-30",7.58080316986889
"111","Strasbourg","30-45",8.80189770413563
"112","Strasbourg","45-60",10.623411023058
"113","Strasbourg","60-75",12.9794296082109
"114","Strasbourg","75-90",15.6860796427354
"115","Troyes","0-15",5.80108391307294
"116","Troyes","15-30",5.84575799666345
"117","Troyes","30-45",8.86347240209579
"118","Troyes","45-60",5.81868378911167
"119","Troyes","60-75",5.07539781928062
"120","Troyes","75-90",8.92009427584708
