"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away"
"Frauen-Bundesliga","F","GER",2019,"Bayern Munich","team","2","11","9","2","0","45","8","+37","29","2.64","11","8","2","1","30","10","+20","26","2.36"
"Frauen-Bundesliga","F","GER",2019,"Essen","team","4","11","6","3","2","28","18","+10","21","1.91","11","5","5","1","22","10","+12","20","1.82"
"Frauen-Bundesliga","F","GER",2019,"FFC Frankfurt","team","5","11","4","4","3","22","20","+2","16","1.45","11","6","0","5","26","18","+8","18","1.64"
"Frauen-Bundesliga","F","GER",2019,"Freiburg","team","7","11","3","2","6","24","20","+4","11","1.00","11","4","3","4","17","13","+4","15","1.36"
"Frauen-Bundesliga","F","GER",2019,"Hoffenheim","team","6","11","6","1","4","25","12","+13","19","1.73","11","3","5","3","23","17","+6","14","1.27"
"Frauen-Bundesliga","F","GER",2019,"Leverkusen","team","10","11","4","2","5","13","28","-15","14","1.27","11","1","1","9","9","47","-38","4","0.36"
"Frauen-Bundesliga","F","GER",2019,"M'gladbach","team","12","11","0","1","10","5","52","-47","1","0.09","11","0","0","11","2","58","-56","0","0.00"
"Frauen-Bundesliga","F","GER",2019,"MSV Duisburg","team","9","11","3","2","6","14","31","-17","11","1.00","11","2","2","7","7","31","-24","8","0.73"
"Frauen-Bundesliga","F","GER",2019,"Sand","team","8","11","4","3","4","16","17","-1","15","1.36","11","2","4","5","13","23","-10","10","0.91"
"Frauen-Bundesliga","F","GER",2019,"Turbine Potsdam","team","3","11","7","4","0","29","6","+23","25","2.27","11","5","2","4","30","19","+11","17","1.55"
"Frauen-Bundesliga","F","GER",2019,"Werder Bremen","team","11","11","3","2","6","15","18","-3","11","1.00","11","1","2","8","8","30","-22","5","0.45"
"Frauen-Bundesliga","F","GER",2019,"Wolfsburg","team","1","11","10","1","0","50","1","+49","31","2.82","11","9","1","1","44","10","+34","28","2.55"
