"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"FA Women's Super League","F","ENG",2020,"Arsenal","team","3","7","6","0","1","22","6","+16","18","2.57","17.9","5.2","+12.7","+1.82","8","6","0","2","18","7","+11","18","2.25","15.0","6.2","+8.7","+1.09"
"FA Women's Super League","F","ENG",2020,"Birmingham City","team","11","6","1","1","4","3","11","-8","4","0.67","3.6","9.4","-5.8","-0.97","7","1","0","6","2","12","-10","3","0.43","3.4","13.7","-10.3","-1.47"
"FA Women's Super League","F","ENG",2020,"Brighton","team","9","9","3","3","3","10","12","-2","12","1.33","10.8","11.7","-0.9","-0.09","7","0","1","6","1","18","-17","1","0.14","7.1","14.6","-7.5","-1.07"
"FA Women's Super League","F","ENG",2020,"Bristol City","team","10","6","0","1","5","1","14","-13","1","0.17","3.9","11.2","-7.3","-1.21","8","2","2","4","8","24","-16","8","1.00","5.1","24.2","-19.0","-2.38"
"FA Women's Super League","F","ENG",2020,"Chelsea","team","1","8","8","0","0","25","4","+21","24","3.00","24.4","3.7","+20.6","+2.58","7","4","3","0","22","7","+15","15","2.14","15.4","6.1","+9.3","+1.34"
"FA Women's Super League","F","ENG",2020,"Everton","team","6","7","4","0","3","13","9","+4","12","1.71","9.0","10.5","-1.5","-0.21","7","2","1","4","8","12","-4","7","1.00","7.0","10.8","-3.8","-0.54"
"FA Women's Super League","F","ENG",2020,"Liverpool","team","12","6","0","3","3","5","8","-3","3","0.50","6.1","8.0","-1.9","-0.32","8","1","0","7","3","12","-9","3","0.38","6.8","11.9","-5.2","-0.65"
"FA Women's Super League","F","ENG",2020,"Manchester City","team","2","9","8","1","0","24","5","+19","25","2.78","19.6","7.2","+12.3","+1.37","7","5","0","2","15","4","+11","15","2.14","13.3","7.0","+6.3","+0.90"
"FA Women's Super League","F","ENG",2020,"Manchester Utd","team","4","7","5","0","2","14","3","+11","15","2.14","16.5","4.5","+12.0","+1.71","7","2","2","3","10","9","+1","8","1.14","8.0","8.4","-0.5","-0.07"
"FA Women's Super League","F","ENG",2020,"Reading","team","5","8","4","2","2","13","12","+1","14","1.75","16.4","9.2","+7.2","+0.89","6","2","1","3","8","12","-4","7","1.17","6.9","9.5","-2.7","-0.44"
"FA Women's Super League","F","ENG",2020,"Tottenham","team","7","7","3","1","3","7","12","-5","10","1.43","8.4","11.5","-3.1","-0.44","8","3","1","4","8","12","-4","10","1.25","8.3","14.6","-6.4","-0.79"
"FA Women's Super League","F","ENG",2020,"West Ham","team","8","7","4","0","3","13","13","0","12","1.71","9.8","9.6","+0.3","+0.04","7","1","1","5","6","21","-15","4","0.57","5.5","19.3","-13.8","-1.97"
