"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away"
"Serie A","F","ITA",2020,"AS Roma","team","4","8","5","1","2","22","10","+12","16","2.00","8","6","0","2","19","7","+12","18","2.25"
"Serie A","F","ITA",2020,"Empoli","team","8","8","1","3","4","9","12","-3","6","0.75","8","4","1","3","13","12","+1","13","1.63"
"Serie A","F","ITA",2020,"Fiorentina","team","2","7","5","1","1","19","8","+11","16","2.29","8","6","1","1","19","7","+12","19","2.38"
"Serie A","F","ITA",2020,"Florentia","team","5","8","5","1","2","15","11","+4","16","2.00","8","2","2","4","9","15","-6","8","1.00"
"Serie A","F","ITA",2020,"Hellas Verona","team","9","8","2","1","5","7","18","-11","7","0.88","8","1","2","5","9","21","-12","5","0.63"
"Serie A","F","ITA",2020,"Internazionale","team","7","8","2","3","3","11","14","-3","9","1.13","8","3","1","4","9","13","-4","10","1.25"
"Serie A","F","ITA",2020,"Juventus","team","1","7","7","0","0","18","4","+14","21","3.00","9","7","2","0","30","6","+24","23","2.56"
"Serie A","F","ITA",2020,"Milan","team","3","8","6","1","1","21","11","+10","19","2.38","7","5","1","1","14","4","+10","16","2.29"
"Serie A","F","ITA",2020,"Orobica Calcio","team","12","8","0","1","7","4","22","-18","1","0.13","8","0","0","8","2","29","-27","0","0.00"
"Serie A","F","ITA",2020,"Pink Bari","team","10","8","0","5","3","5","14","-9","5","0.63","8","1","3","4","12","18","-6","6","0.75"
"Serie A","F","ITA",2020,"Sassuolo","team","6","9","6","0","3","20","7","+13","18","2.00","7","1","2","4","9","12","-3","5","0.71"
"Serie A","F","ITA",2020,"Tavagnacco","team","11","8","1","1","6","4","19","-15","4","0.50","8","1","3","4","5","11","-6","6","0.75"
