"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away"
"Frauen-Bundesliga","F","GER",2021,"Bayern Munich","team","1","11","10","0","1","41","5","+36","30","2.73","11","10","1","0","41","4","+37","31","2.82"
"Frauen-Bundesliga","F","GER",2021,"Eint Frankfurt","team","6","11","4","3","4","20","11","+9","15","1.36","11","5","0","6","23","18","+5","15","1.36"
"Frauen-Bundesliga","F","GER",2021,"Essen","team","8","11","2","3","6","9","17","-8","9","0.82","11","5","1","5","21","20","+1","16","1.45"
"Frauen-Bundesliga","F","GER",2021,"Freiburg","team","7","11","5","2","4","17","19","-2","17","1.55","11","4","1","6","13","16","-3","13","1.18"
"Frauen-Bundesliga","F","GER",2021,"Hoffenheim","team","3","11","7","1","3","29","12","+17","22","2.00","11","7","1","3","25","11","+14","22","2.00"
"Frauen-Bundesliga","F","GER",2021,"Leverkusen","team","5","11","7","1","3","22","22","0","22","2.00","11","3","2","6","10","17","-7","11","1.00"
"Frauen-Bundesliga","F","GER",2021,"MSV Duisburg","team","12","11","0","1","10","6","32","-26","1","0.09","11","1","3","7","9","29","-20","6","0.55"
"Frauen-Bundesliga","F","GER",2021,"SV Meppen","team","11","11","2","2","7","7","24","-17","8","0.73","11","1","3","7","9","28","-19","6","0.55"
"Frauen-Bundesliga","F","GER",2021,"Sand","team","10","11","3","1","7","14","29","-15","10","0.91","11","2","2","7","7","24","-17","8","0.73"
"Frauen-Bundesliga","F","GER",2021,"Turbine Potsdam","team","4","11","7","2","2","24","15","+9","23","2.09","11","5","1","5","17","21","-4","16","1.45"
"Frauen-Bundesliga","F","GER",2021,"Werder Bremen","team","9","11","5","0","6","14","27","-13","15","1.36","11","1","1","9","9","40","-31","4","0.36"
"Frauen-Bundesliga","F","GER",2021,"Wolfsburg","team","2","11","10","1","0","35","7","+28","31","2.82","11","9","1","1","36","10","+26","28","2.55"
