"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away"
"Serie A","F","ITA",2019,"AC Milan","team","3","11","9","1","1","31","8","+23","28","2.55","11","7","2","2","23","13","+10","23","2.09"
"Serie A","F","ITA",2019,"AGSM Verona","team","10","11","4","1","6","24","24","0","13","1.18","11","2","0","9","7","23","-16","6","0.55"
"Serie A","F","ITA",2019,"AS Roma","team","4","11","5","3","3","21","16","+5","18","1.64","11","6","0","5","22","14","+8","18","1.64"
"Serie A","F","ITA",2019,"Atalanta","team","6","11","3","2","6","13","18","-5","11","1.00","11","6","4","1","17","11","+6","22","2.00"
"Serie A","F","ITA",2019,"ChievoVerona","team","9","11","3","2","6","17","26","-9","11","1.00","11","3","0","8","15","38","-23","9","0.82"
"Serie A","F","ITA",2019,"Fiorentina","team","2","11","10","0","1","41","7","+34","30","2.73","11","8","1","2","29","6","+23","25","2.27"
"Serie A","F","ITA",2019,"Florentia","team","7","11","4","2","5","16","18","-2","14","1.27","11","5","1","5","15","21","-6","16","1.45"
"Serie A","F","ITA",2019,"Juventus","team","1","11","10","1","0","38","2","+36","31","2.82","11","8","1","2","25","6","+19","25","2.27"
"Serie A","F","ITA",2019,"Orobica Calcio","team","12","11","1","2","8","7","25","-18","5","0.45","11","0","0","11","6","39","-33","0","0.00"
"Serie A","F","ITA",2019,"Pink Bari","team","11","11","3","1","7","12","24","-12","10","0.91","11","1","2","8","6","35","-29","5","0.45"
"Serie A","F","ITA",2019,"Sassuolo","team","5","11","5","3","3","18","11","+7","18","1.64","11","4","3","4","19","20","-1","15","1.36"
"Serie A","F","ITA",2019,"Tavagnacco","team","8","11","4","1","6","11","20","-9","13","1.18","11","2","5","4","15","23","-8","11","1.00"
