"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"EFL Championship","M","ENG",2020,"Barnsley","team","21","23","7","9","7","29","33","-4","30","1.30","30.0","34.7","-4.6","-0.20","23","5","4","14","20","36","-16","19","0.83","27.8","33.9","-6.1","-0.27"
"EFL Championship","M","ENG",2020,"Birmingham City","team","20","23","6","7","10","33","42","-9","25","1.09","37.2","29.9","+7.4","+0.32","23","6","7","10","21","33","-12","25","1.09","23.9","35.5","-11.6","-0.50"
"EFL Championship","M","ENG",2020,"Blackburn","team","11","23","10","9","4","33","24","+9","39","1.70","29.5","24.4","+5.0","+0.22","23","7","3","13","33","39","-6","24","1.04","24.0","35.3","-11.3","-0.49"
"EFL Championship","M","ENG",2020,"Brentford","team","3","23","14","5","4","44","18","+26","47","2.04","37.8","18.2","+19.6","+0.85","23","10","4","9","36","20","+16","34","1.48","32.7","19.0","+13.7","+0.59"
"EFL Championship","M","ENG",2020,"Bristol City","team","12","23","8","7","8","30","33","-3","31","1.35","34.6","30.8","+3.8","+0.16","23","9","5","9","30","32","-2","32","1.39","27.2","39.8","-12.6","-0.55"
"EFL Championship","M","ENG",2020,"Cardiff City","team","5","23","11","9","3","35","21","+14","42","1.83","29.6","24.8","+4.9","+0.21","23","8","7","8","33","37","-4","31","1.35","27.0","34.6","-7.6","-0.33"
"EFL Championship","M","ENG",2020,"Charlton Ath","team","22","23","8","6","9","28","27","+1","30","1.30","25.9","33.8","-8.0","-0.35","23","4","6","13","22","38","-16","18","0.78","27.2","42.3","-15.0","-0.65"
"EFL Championship","M","ENG",2020,"Derby County","team","10","23","11","8","4","33","21","+12","41","1.78","35.5","28.2","+7.3","+0.32","23","6","5","12","29","43","-14","23","1.00","22.0","39.6","-17.6","-0.77"
"EFL Championship","M","ENG",2020,"Fulham","team","4","23","15","2","6","40","26","+14","47","2.04","39.4","29.0","+10.4","+0.45","23","8","10","5","24","22","+2","34","1.48","26.2","29.9","-3.8","-0.16"
"EFL Championship","M","ENG",2020,"Huddersfield","team","18","23","8","6","9","26","30","-4","30","1.30","29.1","27.9","+1.2","+0.05","23","5","6","12","26","40","-14","21","0.91","26.9","32.4","-5.5","-0.24"
"EFL Championship","M","ENG",2020,"Hull City","team","24","23","7","3","13","29","37","-8","24","1.04","33.8","33.9","-0.1","-0.01","23","5","6","12","28","50","-22","21","0.91","26.7","33.0","-6.3","-0.28"
"EFL Championship","M","ENG",2020,"Leeds United","team","1","23","15","5","3","40","14","+26","50","2.17","46.6","16.4","+30.2","+1.31","23","13","4","6","37","21","+16","43","1.87","39.9","21.2","+18.8","+0.82"
"EFL Championship","M","ENG",2020,"Luton Town","team","19","23","8","7","8","33","37","-4","31","1.35","30.1","36.1","-6.0","-0.26","23","6","2","15","21","45","-24","20","0.87","18.5","41.8","-23.3","-1.01"
"EFL Championship","M","ENG",2020,"Middlesbrough","team","17","23","6","8","9","20","29","-9","26","1.13","31.8","31.8","0.0","0.00","23","7","6","10","28","32","-4","27","1.17","26.1","32.1","-6.0","-0.26"
"EFL Championship","M","ENG",2020,"Millwall","team","8","23","10","8","5","33","25","+8","38","1.65","30.7","22.3","+8.4","+0.37","23","7","9","7","24","26","-2","30","1.30","28.5","31.5","-3.0","-0.13"
"EFL Championship","M","ENG",2020,"Nott'ham Forest","team","7","23","10","5","8","27","27","0","35","1.52","28.1","25.6","+2.6","+0.11","23","8","11","4","31","23","+8","35","1.52","27.5","34.3","-6.7","-0.29"
"EFL Championship","M","ENG",2020,"Preston","team","9","23","12","4","7","39","29","+10","40","1.74","34.6","25.2","+9.4","+0.41","23","6","8","9","20","25","-5","26","1.13","23.4","27.2","-3.7","-0.16"
"EFL Championship","M","ENG",2020,"QPR","team","13","23","9","5","9","42","42","0","32","1.39","34.8","36.0","-1.2","-0.05","23","7","5","11","25","34","-9","26","1.13","28.8","33.0","-4.3","-0.19"
"EFL Championship","M","ENG",2020,"Reading","team","14","23","7","4","12","26","34","-8","25","1.09","28.2","33.5","-5.3","-0.23","23","8","7","8","33","24","+9","31","1.35","28.9","32.1","-3.2","-0.14"
"EFL Championship","M","ENG",2020,"Sheffield Weds","team","16","23","7","7","9","19","30","-11","28","1.22","31.6","27.9","+3.6","+0.16","23","8","4","11","39","36","+3","28","1.22","32.7","32.9","-0.1","-0.01"
"EFL Championship","M","ENG",2020,"Stoke City","team","15","23","11","3","9","36","26","+10","36","1.57","37.7","23.2","+14.5","+0.63","23","5","5","13","26","42","-16","20","0.87","23.4","34.3","-10.9","-0.47"
"EFL Championship","M","ENG",2020,"Swansea City","team","6","23","10","5","8","27","23","+4","35","1.52","30.9","26.8","+4.1","+0.18","23","8","11","4","35","30","+5","35","1.52","34.9","37.4","-2.4","-0.11"
"EFL Championship","M","ENG",2020,"West Brom","team","2","23","10","10","3","44","27","+17","40","1.74","38.3","21.3","+17.0","+0.74","23","12","7","4","33","18","+15","43","1.87","37.4","29.5","+7.9","+0.34"
"EFL Championship","M","ENG",2020,"Wigan Athletic","team","23","23","10","7","6","33","23","+10","37","1.61","29.7","25.5","+4.3","+0.19","23","5","7","11","24","33","-9","22","0.96","25.5","32.9","-7.5","-0.32"
