"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"2. Fußball-Bundesliga","M","GER",2022,"Darmstadt 98","team","4","17","10","3","4","42","23","+19","33","1.94","29.2","20.0","+9.1","+0.54","17","8","3","6","29","23","+6","27","1.59","30.7","26.8","+3.9","+0.23"
"2. Fußball-Bundesliga","M","GER",2022,"Dresden","team","16","18","5","5","8","18","20","-2","20","1.11","23.0","19.8","+3.2","+0.19","18","2","7","9","15","28","-13","13","0.72","16.8","32.4","-15.5","-0.91"
"2. Fußball-Bundesliga","M","GER",2022,"Düsseldorf","team","10","17","6","6","5","28","21","+7","24","1.41","30.5","22.5","+8.0","+0.47","17","5","5","7","17","21","-4","20","1.18","19.2","25.2","-6.0","-0.35"
"2. Fußball-Bundesliga","M","GER",2022,"Erzgebirge Aue","team","17","17","3","3","11","14","34","-20","12","0.71","19.4","25.0","-5.6","-0.33","17","3","5","9","18","38","-20","14","0.82","21.3","31.4","-10.1","-0.59"
"2. Fußball-Bundesliga","M","GER",2022,"Hamburger SV","team","3","17","9","6","2","36","17","+19","33","1.94","38.6","20.0","+18.6","+1.10","17","7","6","4","31","18","+13","27","1.59","29.7","24.4","+5.3","+0.31"
"2. Fußball-Bundesliga","M","GER",2022,"Hannover 96","team","11","17","6","6","5","16","19","-3","24","1.41","23.0","21.4","+1.7","+0.10","17","5","3","9","19","30","-11","18","1.06","21.4","25.2","-3.8","-0.22"
"2. Fußball-Bundesliga","M","GER",2022,"Hansa Rostock","team","13","17","4","5","8","17","25","-8","17","1.00","27.6","21.5","+6.1","+0.36","17","6","6","5","24","27","-3","24","1.41","21.4","26.8","-5.4","-0.32"
"2. Fußball-Bundesliga","M","GER",2022,"Heidenheim","team","6","17","10","4","3","27","18","+9","34","2.00","26.1","20.4","+5.7","+0.34","17","5","3","9","16","27","-11","18","1.06","22.7","25.2","-2.5","-0.15"
"2. Fußball-Bundesliga","M","GER",2022,"Holstein Kiel","team","9","17","8","3","6","23","23","0","27","1.59","31.1","23.6","+7.5","+0.44","17","4","6","7","23","31","-8","18","1.06","20.2","32.4","-12.2","-0.72"
"2. Fußball-Bundesliga","M","GER",2022,"Ingolstadt 04","team","18","17","2","5","10","12","29","-17","11","0.65","17.0","25.6","-8.7","-0.51","17","2","4","11","18","36","-18","10","0.59","19.7","27.9","-8.2","-0.48"
"2. Fußball-Bundesliga","M","GER",2022,"Jahn R'burg","team","15","17","6","4","7","31","29","+2","22","1.29","28.0","28.3","-0.4","-0.02","17","4","6","7","19","22","-3","18","1.06","17.4","27.0","-9.6","-0.56"
"2. Fußball-Bundesliga","M","GER",2022,"Karlsruher","team","12","17","5","9","3","32","26","+6","24","1.41","27.3","28.5","-1.3","-0.07","17","4","5","8","22","29","-7","17","1.00","19.9","28.2","-8.3","-0.49"
"2. Fußball-Bundesliga","M","GER",2022,"Nürnberg","team","8","17","8","3","6","26","23","+3","27","1.59","25.5","21.5","+4.0","+0.24","17","6","6","5","23","26","-3","24","1.41","22.3","26.4","-4.0","-0.24"
"2. Fußball-Bundesliga","M","GER",2022,"Paderborn 07","team","7","17","4","7","6","26","24","+2","19","1.12","27.4","26.3","+1.2","+0.07","17","9","5","3","30","20","+10","32","1.88","23.4","25.0","-1.6","-0.10"
"2. Fußball-Bundesliga","M","GER",2022,"Sandhausen","team","14","17","4","5","8","19","29","-10","17","1.00","21.6","26.5","-4.9","-0.29","17","6","6","5","23","25","-2","24","1.41","16.5","34.0","-17.5","-1.03"
"2. Fußball-Bundesliga","M","GER",2022,"Schalke 04","team","1","17","10","2","5","40","27","+13","32","1.88","36.5","19.6","+16.9","+1.00","17","10","3","4","32","17","+15","33","1.94","30.0","21.4","+8.6","+0.51"
"2. Fußball-Bundesliga","M","GER",2022,"St. Pauli","team","5","17","11","4","2","37","17","+20","37","2.18","31.1","19.7","+11.4","+0.67","17","5","5","7","24","29","-5","20","1.18","23.4","36.2","-12.8","-0.75"
"2. Fußball-Bundesliga","M","GER",2022,"Werder Bremen","team","2","17","8","6","3","29","17","+12","30","1.76","36.2","18.5","+17.7","+1.04","17","10","3","4","36","26","+10","33","1.94","32.5","23.0","+9.5","+0.56"
