"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Ligue 2","M","FRA",2020,"Ajaccio","team","3","14","6","4","4","17","12","+5","22","1.57","14.2","12.0","+2.1","+0.15","14","9","3","2","21","10","+11","30","2.14","16.7","15.4","+1.3","+0.09"
"Ligue 2","M","FRA",2020,"Auxerre","team","11","14","5","7","2","19","12","+7","22","1.57","17.0","8.0","+9.0","+0.64","14","3","3","8","12","18","-6","12","0.86","12.1","18.0","-5.8","-0.42"
"Ligue 2","M","FRA",2020,"Caen","team","13","14","4","5","5","14","17","-3","17","1.21","16.2","15.5","+0.7","+0.05","14","4","5","5","19","17","+2","17","1.21","15.9","16.5","-0.6","-0.04"
"Ligue 2","M","FRA",2020,"Chambly Oise","team","10","15","4","4","7","12","21","-9","16","1.07","13.7","15.5","-1.7","-0.12","13","5","4","4","14","11","+3","19","1.46","10.7","12.1","-1.4","-0.11"
"Ligue 2","M","FRA",2020,"Châteauroux","team","15","14","3","4","7","11","23","-12","13","0.93","15.4","18.1","-2.7","-0.19","14","6","3","5","11","15","-4","21","1.50","12.6","22.0","-9.3","-0.67"
"Ligue 2","M","FRA",2020,"Clermont Foot","team","5","14","7","3","4","21","14","+7","24","1.71","17.5","13.7","+3.8","+0.27","14","7","5","2","14","11","+3","26","1.86","12.7","15.8","-3.1","-0.22"
"Ligue 2","M","FRA",2020,"Grenoble","team","9","14","3","8","3","13","13","0","17","1.21","13.3","15.1","-1.8","-0.13","14","4","6","4","14","16","-2","18","1.29","13.7","16.2","-2.5","-0.18"
"Ligue 2","M","FRA",2020,"Guingamp","team","8","14","5","6","3","20","14","+6","21","1.50","19.1","10.7","+8.4","+0.60","14","5","3","6","20","19","+1","18","1.29","20.0","18.2","+1.8","+0.13"
"Ligue 2","M","FRA",2020,"Le Havre","team","6","14","5","7","2","18","10","+8","22","1.57","19.0","10.6","+8.4","+0.60","14","6","4","4","20","15","+5","22","1.57","21.5","13.0","+8.5","+0.61"
"Ligue 2","M","FRA",2020,"Le Mans","team","19","14","5","3","6","16","17","-1","18","1.29","16.7","15.0","+1.7","+0.12","14","2","2","10","14","28","-14","8","0.57","13.4","27.4","-14.0","-1.00"
"Ligue 2","M","FRA",2020,"Lens","team","2","14","9","3","2","19","9","+10","30","2.14","21.8","13.0","+8.8","+0.63","14","6","5","3","20","15","+5","23","1.64","21.3","13.7","+7.6","+0.54"
"Ligue 2","M","FRA",2020,"Lorient","team","1","14","9","1","4","22","12","+10","28","2.00","21.0","10.5","+10.5","+0.75","14","8","2","4","23","13","+10","26","1.86","17.3","18.1","-0.8","-0.06"
"Ligue 2","M","FRA",2020,"Nancy","team","12","14","6","6","2","16","9","+7","24","1.71","20.2","13.1","+7.1","+0.51","14","0","10","4","11","17","-6","10","0.71","10.9","17.0","-6.1","-0.43"
"Ligue 2","M","FRA",2020,"Niort","team","18","14","4","5","5","16","16","0","17","1.21","16.3","19.5","-3.2","-0.23","14","2","3","9","14","25","-11","9","0.64","9.7","21.2","-11.5","-0.82"
"Ligue 2","M","FRA",2020,"Orléans","team","20","14","2","2","10","8","23","-15","8","0.57","14.4","17.0","-2.7","-0.19","14","2","5","7","13","20","-7","11","0.79","11.6","15.4","-3.8","-0.27"
"Ligue 2","M","FRA",2020,"Paris FC","team","17","13","3","2","8","9","22","-13","11","0.85","12.3","18.8","-6.4","-0.50","15","4","5","6","13","18","-5","17","1.13","16.7","22.7","-6.0","-0.40"
"Ligue 2","M","FRA",2020,"Rodez Aveyron","team","16","14","6","3","5","22","18","+4","21","1.50","18.4","16.9","+1.5","+0.11","14","2","5","7","9","16","-7","11","0.79","10.8","17.3","-6.5","-0.46"
"Ligue 2","M","FRA",2020,"Sochaux","team","14","14","6","5","3","17","11","+6","23","1.64","17.4","11.0","+6.3","+0.45","14","2","5","7","11","19","-8","11","0.79","11.0","13.6","-2.6","-0.18"
"Ligue 2","M","FRA",2020,"Troyes","team","4","14","8","1","5","20","17","+3","25","1.79","18.1","14.3","+3.8","+0.27","14","8","2","4","14","8","+6","26","1.86","15.5","12.5","+3.0","+0.22"
"Ligue 2","M","FRA",2020,"Valenciennes","team","7","14","7","5","2","14","7","+7","26","1.86","20.9","19.3","+1.6","+0.11","14","4","4","6","10","13","-3","16","1.14","13.2","16.6","-3.3","-0.24"
