"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Fußball-Bundesliga","M","GER",2022,"Arminia","team","17","17","2","10","5","15","23","-8","16","0.94","13.1","29.3","-16.2","-0.95","17","3","3","11","12","30","-18","12","0.71","13.2","33.5","-20.4","-1.20"
"Fußball-Bundesliga","M","GER",2022,"Augsburg","team","14","17","7","4","6","25","26","-1","25","1.47","21.8","26.9","-5.1","-0.30","17","3","4","10","14","30","-16","13","0.76","14.9","31.1","-16.1","-0.95"
"Fußball-Bundesliga","M","GER",2022,"Bayern Munich","team","1","17","13","2","2","48","15","+33","41","2.41","43.1","16.7","+26.4","+1.55","17","11","3","3","49","22","+27","36","2.12","45.9","19.6","+26.3","+1.55"
"Fußball-Bundesliga","M","GER",2022,"Bochum","team","13","17","8","4","5","21","17","+4","28","1.65","21.4","17.8","+3.6","+0.23","17","4","2","11","17","35","-18","14","0.82","19.2","38.0","-18.7","-1.10"
"Fußball-Bundesliga","M","GER",2022,"Dortmund","team","2","17","13","0","4","52","28","+24","39","2.29","37.8","22.6","+15.2","+0.89","17","9","3","5","33","24","+9","30","1.76","26.2","23.7","+2.6","+0.15"
"Fußball-Bundesliga","M","GER",2022,"Eint Frankfurt","team","11","17","4","7","6","20","22","-2","19","1.12","21.8","22.2","-0.4","-0.02","17","6","5","6","25","27","-2","23","1.35","19.9","24.8","-5.0","-0.29"
"Fußball-Bundesliga","M","GER",2022,"Freiburg","team","6","17","8","5","4","32","25","+7","29","1.71","29.0","20.8","+8.2","+0.48","17","7","5","5","26","21","+5","26","1.53","21.5","23.2","-1.7","-0.10"
"Fußball-Bundesliga","M","GER",2022,"Greuther Fürth","team","18","17","3","5","9","15","33","-18","14","0.82","18.0","28.3","-10.3","-0.61","17","0","4","13","13","49","-36","4","0.24","12.1","31.9","-19.9","-1.17"
"Fußball-Bundesliga","M","GER",2022,"Hertha BSC","team","16","17","6","3","8","24","33","-9","21","1.24","17.9","23.8","-5.9","-0.35","17","3","3","11","13","38","-25","12","0.71","15.4","30.5","-15.1","-0.89"
"Fußball-Bundesliga","M","GER",2022,"Hoffenheim","team","9","17","8","4","5","34","24","+10","28","1.65","32.2","24.2","+8.0","+0.47","17","5","3","9","24","36","-12","18","1.06","26.1","30.4","-4.3","-0.25"
"Fußball-Bundesliga","M","GER",2022,"Köln","team","7","17","9","4","4","27","21","+6","31","1.82","28.2","21.8","+6.4","+0.38","17","5","6","6","25","28","-3","21","1.24","21.9","28.8","-7.0","-0.41"
"Fußball-Bundesliga","M","GER",2022,"Leverkusen","team","3","17","10","2","5","39","23","+16","32","1.88","30.2","21.2","+9.0","+0.53","17","9","5","3","41","24","+17","32","1.88","32.4","22.8","+9.7","+0.57"
"Fußball-Bundesliga","M","GER",2022,"M'Gladbach","team","10","17","8","4","5","33","27","+6","28","1.65","32.8","26.9","+5.9","+0.35","17","4","5","8","21","34","-13","17","1.00","23.4","28.1","-4.7","-0.29"
"Fußball-Bundesliga","M","GER",2022,"Mainz 05","team","8","17","10","5","2","33","11","+22","35","2.06","30.9","17.6","+13.3","+0.78","17","3","2","12","17","34","-17","11","0.65","19.5","26.3","-6.8","-0.40"
"Fußball-Bundesliga","M","GER",2022,"RB Leipzig","team","4","17","11","2","4","43","17","+26","35","2.06","36.1","16.8","+19.3","+1.14","17","6","5","6","29","20","+9","23","1.35","28.4","23.3","+5.2","+0.30"
"Fußball-Bundesliga","M","GER",2022,"Stuttgart","team","15","17","6","4","7","28","32","-4","22","1.29","26.1","24.2","+1.9","+0.11","17","1","8","8","13","27","-14","11","0.65","17.7","29.8","-12.1","-0.71"
"Fußball-Bundesliga","M","GER",2022,"Union Berlin","team","5","17","10","5","2","25","17","+8","35","2.06","23.3","18.3","+5.1","+0.30","17","6","4","7","25","27","-2","22","1.29","23.7","20.3","+3.4","+0.20"
"Fußball-Bundesliga","M","GER",2022,"Wolfsburg","team","12","17","7","3","7","25","21","+4","24","1.41","27.3","22.3","+5.0","+0.30","17","5","3","9","18","33","-15","18","1.06","20.4","25.0","-4.6","-0.27"
