"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Serie B","M","ITA",2022,"Alessandria","team","18","19","5","6","8","16","23","-7","21","1.11","25.1","20.2","+4.9","+0.26","19","3","4","12","21","36","-15","13","0.68","18.5","25.7","-7.2","-0.38"
"Serie B","M","ITA",2022,"Ascoli","team","6","19","8","6","5","24","18","+6","30","1.58","25.0","19.2","+5.8","+0.30","19","11","2","6","28","24","+4","35","1.84","23.7","27.0","-3.4","-0.18"
"Serie B","M","ITA",2022,"Benevento","team","7","19","10","4","5","38","20","+18","34","1.79","34.3","26.2","+8.1","+0.43","19","8","5","6","24","19","+5","29","1.53","26.0","21.1","+4.8","+0.25"
"Serie B","M","ITA",2022,"Brescia","team","5","19","8","8","3","30","20","+10","32","1.68","29.0","18.8","+10.3","+0.54","19","9","7","3","25","15","+10","34","1.79","29.1","21.1","+8.0","+0.42"
"Serie B","M","ITA",2022,"Cittadella","team","11","19","7","5","7","22","18","+4","26","1.37","24.2","18.3","+6.0","+0.31","19","6","8","5","16","18","-2","26","1.37","23.6","24.3","-0.7","-0.04"
"Serie B","M","ITA",2022,"Como","team","13","19","5","7","7","20","21","-1","22","1.16","25.7","28.3","-2.6","-0.14","19","6","7","6","29","33","-4","25","1.32","24.5","32.8","-8.3","-0.44"
"Serie B","M","ITA",2022,"Cosenza","team","16","19","8","3","8","21","23","-2","27","1.42","18.0","27.7","-9.7","-0.51","19","0","8","11","15","36","-21","8","0.42","18.0","29.0","-11.0","-0.58"
"Serie B","M","ITA",2022,"Cremonese","team","2","19","11","6","2","32","18","+14","39","2.05","27.6","23.4","+4.2","+0.22","19","9","3","7","25","21","+4","30","1.58","28.6","18.3","+10.3","+0.54"
"Serie B","M","ITA",2022,"Crotone","team","19","19","4","8","7","23","25","-2","20","1.05","23.5","26.0","-2.5","-0.13","19","0","6","13","18","36","-18","6","0.32","21.2","32.5","-11.3","-0.60"
"Serie B","M","ITA",2022,"Frosinone","team","9","19","10","6","3","34","16","+18","36","1.89","31.5","22.4","+9.1","+0.48","19","5","7","7","24","29","-5","22","1.16","26.5","24.1","+2.4","+0.13"
"Serie B","M","ITA",2022,"Lecce","team","1","19","13","5","1","37","14","+23","44","2.32","36.1","13.3","+22.8","+1.20","19","6","9","4","22","17","+5","27","1.42","26.5","22.4","+4.1","+0.22"
"Serie B","M","ITA",2022,"Monza","team","4","19","13","4","2","37","14","+23","43","2.26","31.5","17.7","+13.8","+0.73","19","6","6","7","23","24","-1","24","1.26","25.2","24.0","+1.2","+0.06"
"Serie B","M","ITA",2022,"Parma","team","12","19","5","9","5","25","20","+5","24","1.26","25.6","22.2","+3.4","+0.18","19","6","7","6","23","23","0","25","1.32","22.5","30.7","-8.2","-0.43"
"Serie B","M","ITA",2022,"Perugia","team","8","19","6","8","5","19","16","+3","26","1.37","28.2","21.1","+7.1","+0.37","19","8","8","3","21","16","+5","32","1.68","22.6","28.2","-5.5","-0.29"
"Serie B","M","ITA",2022,"Pisa","team","3","19","10","8","1","26","13","+13","38","2.00","26.6","24.3","+2.4","+0.12","19","8","5","6","22","22","0","29","1.53","22.2","24.5","-2.3","-0.12"
"Serie B","M","ITA",2022,"Pordenone","team","20","19","2","7","10","19","34","-15","13","0.68","22.9","33.3","-10.5","-0.55","19","1","2","16","10","37","-27","5","0.26","16.8","29.2","-12.4","-0.65"
"Serie B","M","ITA",2022,"SPAL","team","15","19","4","8","7","30","28","+2","20","1.05","25.1","26.0","-0.9","-0.05","19","5","7","7","16","26","-10","22","1.16","22.7","27.6","-5.0","-0.26"
"Serie B","M","ITA",2022,"Ternana","team","10","19","9","2","8","30","27","+3","29","1.53","26.3","26.7","-0.4","-0.02","19","6","7","6","28","34","-6","25","1.32","28.1","29.5","-1.4","-0.07"
"Serie B","M","ITA",2022,"US Reggina","team","14","19","9","2","8","19","24","-5","29","1.53","23.6","26.6","-3.0","-0.16","19","4","7","8","12","25","-13","19","1.00","15.3","28.6","-13.3","-0.70"
"Serie B","M","ITA",2022,"Vicenza Virtus","team","17","19","5","5","9","22","26","-4","20","1.05","24.1","20.4","+3.7","+0.19","19","4","2","13","16","33","-17","14","0.74","20.8","33.3","-12.5","-0.66"
