"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"2. Fußball-Bundesliga","M","GER",2019,"Arminia","team","7","17","8","2","7","27","25","+2","26","1.53","27.5","23.0","+4.5","+0.26","17","5","8","4","25","25","0","23","1.35","22.7","23.6","-0.9","-0.05"
"2. Fußball-Bundesliga","M","GER",2019,"Bochum","team","11","17","9","3","5","29","22","+7","30","1.76","30.5","26.4","+4.1","+0.24","17","2","8","7","20","28","-8","14","0.82","22.8","26.6","-3.8","-0.22"
"2. Fußball-Bundesliga","M","GER",2019,"Darmstadt 98","team","10","17","9","4","4","25","17","+8","31","1.82","27.1","20.8","+6.2","+0.37","17","4","3","10","20","36","-16","15","0.88","20.6","27.8","-7.1","-0.42"
"2. Fußball-Bundesliga","M","GER",2019,"Dresden","team","12","17","7","5","5","26","19","+7","26","1.53","27.2","23.3","+3.9","+0.23","17","4","4","9","15","29","-14","16","0.94","21.9","26.0","-4.0","-0.24"
"2. Fußball-Bundesliga","M","GER",2019,"Erzgebirge Aue","team","14","17","6","5","6","20","22","-2","23","1.35","19.8","22.4","-2.6","-0.15","17","5","2","10","23","25","-2","17","1.00","19.6","29.9","-10.4","-0.61"
"2. Fußball-Bundesliga","M","GER",2019,"Greuther Fürth","team","13","17","6","8","3","23","24","-1","26","1.53","23.8","25.6","-1.8","-0.10","17","4","4","9","14","32","-18","16","0.94","16.7","32.9","-16.2","-0.95"
"2. Fußball-Bundesliga","M","GER",2019,"Hamburger SV","team","4","17","8","4","5","21","22","-1","28","1.65","28.0","19.4","+8.6","+0.51","17","8","4","5","24","20","+4","28","1.65","22.5","19.5","+3.0","+0.18"
"2. Fußball-Bundesliga","M","GER",2019,"Heidenheim","team","5","17","9","3","5","32","24","+8","30","1.76","26.2","24.9","+1.2","+0.07","17","6","7","4","23","21","+2","25","1.47","24.0","29.8","-5.8","-0.34"
"2. Fußball-Bundesliga","M","GER",2019,"Holstein Kiel","team","6","17","8","5","4","33","23","+10","29","1.71","34.0","25.9","+8.1","+0.48","17","5","5","7","27","28","-1","20","1.18","29.5","31.4","-2.0","-0.11"
"2. Fußball-Bundesliga","M","GER",2019,"Ingolstadt 04","team","16","17","4","5","8","20","22","-2","17","1.00","24.8","18.8","+6.0","+0.35","17","5","3","9","23","33","-10","18","1.06","22.7","30.2","-7.5","-0.44"
"2. Fußball-Bundesliga","M","GER",2019,"Jahn R'burg","team","8","17","6","6","5","19","23","-4","24","1.41","30.6","26.7","+3.9","+0.23","17","6","7","4","36","31","+5","25","1.47","33.5","34.9","-1.4","-0.08"
"2. Fußball-Bundesliga","M","GER",2019,"Köln","team","1","17","9","3","5","49","26","+23","30","1.76","46.4","21.0","+25.4","+1.50","17","10","3","4","35","21","+14","33","1.94","33.1","20.9","+12.2","+0.72"
"2. Fußball-Bundesliga","M","GER",2019,"MSV Duisburg","team","18","17","3","3","11","25","39","-14","12","0.71","26.2","34.1","-7.9","-0.46","17","3","7","7","14","26","-12","16","0.94","16.6","35.7","-19.1","-1.12"
"2. Fußball-Bundesliga","M","GER",2019,"Magdeburg","team","17","17","2","10","5","16","19","-3","16","0.94","23.5","18.7","+4.8","+0.28","17","4","3","10","19","34","-15","15","0.88","18.9","28.1","-9.3","-0.54"
"2. Fußball-Bundesliga","M","GER",2019,"Paderborn 07","team","2","17","10","6","1","50","23","+27","36","2.12","36.2","27.4","+8.8","+0.51","17","6","3","8","26","27","-1","21","1.24","24.9","28.9","-4.0","-0.24"
"2. Fußball-Bundesliga","M","GER",2019,"Sandhausen","team","15","17","5","6","6","22","21","+1","21","1.24","21.4","19.8","+1.6","+0.09","17","4","5","8","23","31","-8","17","1.00","20.1","31.6","-11.5","-0.68"
"2. Fußball-Bundesliga","M","GER",2019,"St. Pauli","team","9","17","8","5","4","28","23","+5","29","1.71","28.0","22.9","+5.1","+0.30","17","6","2","9","18","30","-12","20","1.18","19.7","27.5","-7.8","-0.46"
"2. Fußball-Bundesliga","M","GER",2019,"Union Berlin","team","3","17","11","5","1","34","11","+23","38","2.24","27.9","18.6","+9.4","+0.55","17","3","10","4","20","22","-2","19","1.12","30.1","23.7","+6.4","+0.38"
