"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away"
"Championnat de France de Football Féminin","F","FRA",2021,"Bordeaux","team","3","11","8","1","2","32","8","+24","25","2.27","11","6","1","4","18","15","+3","19","1.73"
"Championnat de France de Football Féminin","F","FRA",2021,"Dijon","team","8","11","6","1","4","14","15","-1","19","1.73","11","2","1","8","10","22","-12","7","0.64"
"Championnat de France de Football Féminin","F","FRA",2021,"Fleury","team","9","11","3","3","5","9","16","-7","12","1.09","11","4","1","6","9","26","-17","13","1.18"
"Championnat de France de Football Féminin","F","FRA",2021,"Guingamp","team","5","11","5","2","4","17","18","-1","17","1.55","11","4","2","5","12","14","-2","14","1.27"
"Championnat de France de Football Féminin","F","FRA",2021,"Issy","team","11","11","2","0","9","6","40","-34","6","0.55","11","1","1","9","5","37","-32","4","0.36"
"Championnat de France de Football Féminin","F","FRA",2021,"Le Havre","team","12","11","1","1","9","4","19","-15","4","0.36","11","1","1","9","10","30","-20","4","0.36"
"Championnat de France de Football Féminin","F","FRA",2021,"Lyon","team","2","11","10","1","0","44","4","+40","31","2.82","11","10","0","1","34","2","+32","30","2.73"
"Championnat de France de Football Féminin","F","FRA",2021,"Montpellier","team","7","11","5","2","4","13","18","-5","17","1.55","11","4","1","6","14","17","-3","13","1.18"
"Championnat de France de Football Féminin","F","FRA",2021,"Paris FC","team","4","11","6","2","3","20","13","+7","20","1.82","11","5","2","4","19","16","+3","17","1.55"
"Championnat de France de Football Féminin","F","FRA",2021,"Paris S-G","team","1","11","11","0","0","41","2","+39","33","3.00","11","9","2","0","42","2","+40","29","2.64"
"Championnat de France de Football Féminin","F","FRA",2021,"Soyaux","team","10","11","3","1","7","8","18","-10","10","0.91","11","2","1","8","7","28","-21","7","0.64"
"Championnat de France de Football Féminin","F","FRA",2021,"Stade de Reims","team","6","11","4","1","6","21","22","-1","13","1.18","11","5","2","4","13","20","-7","17","1.55"
