"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away"
"Championnat de France de Football Féminin","F","FRA",2020,"Bordeaux","team","3","8","6","1","1","16","4","+12","19","2.38","8","6","0","2","20","8","+12","18","2.25"
"Championnat de France de Football Féminin","F","FRA",2020,"Dijon","team","10","7","2","2","3","5","13","-8","8","1.14","9","1","3","5","5","19","-14","6","0.67"
"Championnat de France de Football Féminin","F","FRA",2020,"Fleury","team","7","8","1","2","5","9","15","-6","5","0.63","8","5","0","3","9","15","-6","15","1.88"
"Championnat de France de Football Féminin","F","FRA",2020,"Guingamp","team","6","9","3","2","4","12","16","-4","11","1.22","7","3","3","1","8","5","+3","12","1.71"
"Championnat de France de Football Féminin","F","FRA",2020,"Lyon","team","1","9","9","0","0","39","0","+39","27","3.00","7","5","2","0","28","4","+24","17","2.43"
"Championnat de France de Football Féminin","F","FRA",2020,"Metz","team","12","8","0","1","7","2","20","-18","1","0.13","8","0","1","7","5","24","-19","1","0.13"
"Championnat de France de Football Féminin","F","FRA",2020,"Montpellier","team","4","7","4","1","2","16","6","+10","13","1.86","9","5","2","2","23","12","+11","17","1.89"
"Championnat de France de Football Féminin","F","FRA",2020,"Ol. Marseille","team","11","9","2","0","7","9","31","-22","6","0.67","7","0","0","7","3","31","-28","0","0.00"
"Championnat de France de Football Féminin","F","FRA",2020,"Paris FC","team","5","8","3","2","3","11","15","-4","11","1.38","8","4","1","3","10","11","-1","13","1.63"
"Championnat de France de Football Féminin","F","FRA",2020,"Paris S-G","team","2","8","6","2","0","34","3","+31","20","2.50","8","7","0","1","26","4","+22","21","2.63"
"Championnat de France de Football Féminin","F","FRA",2020,"Soyaux","team","8","8","0","3","5","1","14","-13","3","0.38","8","4","1","3","14","16","-2","13","1.63"
"Championnat de France de Football Féminin","F","FRA",2020,"Stade de Reims","team","9","7","1","0","6","6","21","-15","3","0.43","9","3","3","3","7","11","-4","12","1.33"
