"","league","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction"
"1","Ligue_1","375456","36","SavedShot",0.714000015258789,0.324000015258789,0.0157865006476641,"Toma Basic","h","6902","OpenPlay","2020","LeftFoot","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00","Nicolas de Preville","Pass"
"2","Ligue_1","375457","38","MissedShots",0.6,0.282000007629395,0.00814311020076275,"Otávio","h","6060","OpenPlay","2020","RightFoot","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00",NA,"BallRecovery"
"3","Ligue_1","375458","42","MissedShots",0.711999969482422,0.527999992370605,0.0167586002498865,"Hwang Ui-Jo","h","7746","OpenPlay","2020","RightFoot","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00","Otávio","Pass"
"4","Ligue_1","375459","46","MissedShots",0.974000015258789,0.535999984741211,0.547621011734009,"Hwang Ui-Jo","h","7746","FromCorner","2020","Head","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00","Nicolas de Preville","Cross"
"5","Ligue_1","375461","61","MissedShots",0.69,0.564000015258789,0.0117651000618935,"Otávio","h","6060","OpenPlay","2020","RightFoot","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00","Nicolas de Preville","Pass"
"6","Ligue_1","375453","24","BlockedShot",0.793000030517578,0.38,0.0296036005020142,"Samuel Moutoussamy","a","6018","OpenPlay","2020","LeftFoot","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00","Abdoul Kader Bamba","Pass"
"7","Ligue_1","375454","27","SavedShot",0.803000030517578,0.726999969482422,0.014588600024581,"Moses Simon","a","7169","OpenPlay","2020","RightFoot","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00","Imran Louza","Chipped"
"8","Ligue_1","375455","34","MissedShots",0.78,0.665,0.0209986995905638,"Samuel Moutoussamy","a","6018","OpenPlay","2020","LeftFoot","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00","Moses Simon","Pass"
"9","Ligue_1","375460","51","MissedShots",0.725,0.397999992370605,0.0165120996534824,"Pedro Chirivella","a","1022","OpenPlay","2020","RightFoot","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00","Imran Louza","Pass"
"10","Ligue_1","375462","71","BlockedShot",0.778000030517578,0.554000015258789,0.0924825966358185,"Abdoul Kader Bamba","a","7760","DirectFreekick","2020","RightFoot","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00",NA,"Standard"
"11","Ligue_1","375463","86","MissedShots",0.72,0.322000007629395,0.0136353997513652,"Andrei Girotto","a","6112","OpenPlay","2020","RightFoot","13977","Bordeaux","Nantes",0,0,"2020-08-21 17:00:00","Fabio","Pass"
"12","Ligue_1","375540","3","MissedShots",0.900999984741211,0.627000007629395,0.00907015986740589,"Eric Junior Dina Ebimbe","h","7562","SetPiece","2020","Head","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Mounir Chouiar","Aerial"
"13","Ligue_1","375541","5","SavedShot",0.751999969482422,0.678000030517578,0.0159187000244856,"Ngonda Muzinga","h","7998","OpenPlay","2020","LeftFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Mounir Chouiar","BallTouch"
"14","Ligue_1","375545","19","BlockedShot",0.855999984741211,0.641999969482422,0.1205840036273,"Eric Junior Dina Ebimbe","h","7562","OpenPlay","2020","LeftFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Didier Ndong","Throughball"
"15","Ligue_1","375550","27","BlockedShot",0.813000030517578,0.467999992370605,0.0473225004971027,"Aurelien Scheidler","h","8629","OpenPlay","2020","LeftFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Mounir Chouiar","BallTouch"
"16","Ligue_1","375551","32","MissedShots",0.755,0.552999992370605,0.0246233996003866,"Eric Junior Dina Ebimbe","h","7562","OpenPlay","2020","LeftFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Mounir Chouiar","Pass"
"17","Ligue_1","375552","36","MissedShots",0.956999969482422,0.557000007629395,0.131899997591972,"Aurelien Scheidler","h","8629","OpenPlay","2020","RightFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Eric Junior Dina Ebimbe","Pass"
"18","Ligue_1","375553","36","ShotOnPost",0.98,0.417000007629395,0.426748991012573,"Jordan Marié","h","5725","OpenPlay","2020","RightFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Aurelien Scheidler","Rebound"
"19","Ligue_1","375555","51","MissedShots",0.845999984741211,0.545999984741211,0.0089521799236536,"Aurelien Scheidler","h","8629","OpenPlay","2020","Head","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Pape Cheikh","Aerial"
"20","Ligue_1","375558","69","BlockedShot",0.704000015258789,0.36,0.0108775999397039,"Romain Amalfitano","h","5620","OpenPlay","2020","RightFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00",NA,"None"
"21","Ligue_1","375542","11","SavedShot",0.855,0.311000003814697,0.290037989616394,"Wilfried Kanga","a","6251","OpenPlay","2020","RightFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Abdoulaye Bamba","Throughball"
"22","Ligue_1","375543","15","BlockedShot",0.853000030517578,0.387999992370605,0.0579577013850212,"Sada Thioub","a","4849","OpenPlay","2020","LeftFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Abdoulaye Bamba","Pass"
"23","Ligue_1","375544","15","SavedShot",0.935,0.654000015258789,0.0135834999382496,"Baptiste Santamaria","a","5654","FromCorner","2020","Head","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00",NA,"Aerial"
"24","Ligue_1","375546","21","BlockedShot",0.808000030517578,0.577999992370606,0.0390288010239601,"Sada Thioub","a","4849","FromCorner","2020","RightFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Angelo Fulgini","Pass"
"25","Ligue_1","375547","21","ShotOnPost",0.925999984741211,0.68,0.0512170009315014,"Sada Thioub","a","4849","FromCorner","2020","LeftFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Angelo Fulgini","Pass"
"26","Ligue_1","375548","21","Goal",0.913000030517578,0.439000015258789,0.41449299454689,"Ismael Traoré","a","3487","FromCorner","2020","RightFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00",NA,"Rebound"
"27","Ligue_1","375549","24","MissedShots",0.809000015258789,0.422000007629395,0.0333429016172886,"Angelo Fulgini","a","6019","FromCorner","2020","RightFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Thomas Mangani","Cross"
"28","Ligue_1","375554","39","MissedShots",0.918000030517578,0.316000003814697,0.00964753981679678,"Ismael Traoré","a","3487","FromCorner","2020","Head","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Angelo Fulgini","Cross"
"29","Ligue_1","375556","60","SavedShot",0.909000015258789,0.542000007629394,0.503446996212006,"Angelo Fulgini","a","6019","OpenPlay","2020","RightFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Sada Thioub","Pass"
"30","Ligue_1","375557","62","MissedShots",0.895,0.193999996185303,0.0211625006049871,"Pereira Lage","a","7743","SetPiece","2020","RightFoot","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Thomas Mangani","Chipped"
"31","Ligue_1","375559","79","MissedShots",0.951999969482422,0.454000015258789,0.537693023681641,"Farid El Melali","a","7064","OpenPlay","2020","Head","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Enzo Ebosse","Cross"
"32","Ligue_1","375560","86","BlockedShot",0.915,0.587000007629395,0.0717590972781181,"Sada Thioub","a","4849","SetPiece","2020","Head","13978","Dijon","Angers",0,1,"2020-08-22 15:00:00","Pierrick Capelle","Cross"
"33","Ligue_1","375660","30","MissedShots",0.875999984741211,0.409000015258789,0.0326032005250454,"Jonathan Ikone","h","5661","OpenPlay","2020","OtherBodyPart","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Benjamin André","Aerial"
"34","Ligue_1","375661","32","MissedShots",0.695999984741211,0.222000007629395,0.0117073003202677,"Renato Sanches","h","5228","OpenPlay","2020","RightFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Benjamin André","Pass"
"35","Ligue_1","375662","39","Goal",0.830999984741211,0.447000007629395,0.31862598657608,"Jonathan Bamba","h","3749","OpenPlay","2020","RightFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Xeka","Throughball"
"36","Ligue_1","375663","50","MissedShots",0.735,0.592000007629395,0.0228276997804642,"Renato Sanches","h","5228","OpenPlay","2020","RightFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Jonathan Bamba","Pass"
"37","Ligue_1","375672","83","MissedShots",0.783000030517578,0.257999992370605,0.0152104003354907,"Luiz Araujo","h","6012","OpenPlay","2020","LeftFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Mehmet Zeki Çelik","Pass"
"38","Ligue_1","375656","2","MissedShots",0.775,0.744000015258789,0.0182419996708632,"Faitout Maouassa","a","5635","OpenPlay","2020","LeftFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Jonas Martin","Pass"
"39","Ligue_1","375657","12","MissedShots",0.670999984741211,0.387999992370605,0.00757418991997838,"Raphinha","a","8026","OpenPlay","2020","LeftFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Benjamin Bourigeaud","Chipped"
"40","Ligue_1","375658","20","MissedShots",0.825,0.497000007629395,0.0175042003393173,"Steven N&#039;Zonzi","a","2413","SetPiece","2020","Head","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Benjamin Bourigeaud","Cross"
"41","Ligue_1","375659","27","BlockedShot",0.834000015258789,0.397000007629395,0.0594239011406898,"M&#039;Baye Niang","a","1126","OpenPlay","2020","RightFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00",NA,"BallRecovery"
"42","Ligue_1","375664","51","MissedShots",0.801999969482422,0.447999992370605,0.0182000994682312,"Brandon Soppy","a","8639","FromCorner","2020","RightFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00",NA,"Aerial"
"43","Ligue_1","375665","51","SavedShot",0.913000030517578,0.273999996185303,0.032830398529768,"Raphinha","a","8026","OpenPlay","2020","LeftFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Edouard Mendy","TakeOn"
"44","Ligue_1","375666","64","BlockedShot",0.920999984741211,0.400999984741211,0.0521329008042812,"Romain Del Castillo","a","3721","OpenPlay","2020","Head","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Faitout Maouassa","Cross"
"45","Ligue_1","375667","64","BlockedShot",0.804000015258789,0.557000007629395,0.0397328995168209,"Eduardo Camavinga","a","7359","OpenPlay","2020","LeftFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00",NA,"Rebound"
"46","Ligue_1","375668","68","MissedShots",0.974000015258789,0.552999992370605,0.565766990184784,"Eduardo Camavinga","a","7359","OpenPlay","2020","LeftFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Romain Del Castillo","Cross"
"47","Ligue_1","375669","73","MissedShots",0.925999984741211,0.394000015258789,0.0373160988092422,"Eduardo Camavinga","a","7359","FromCorner","2020","Head","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Romain Del Castillo","Cross"
"48","Ligue_1","375670","73","Goal",0.970999984741211,0.547000007629394,0.150159999728203,"Damien Da Silva","a","3542","FromCorner","2020","RightFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00","Eduardo Camavinga","Rebound"
"49","Ligue_1","375671","81","MissedShots",0.734000015258789,0.492999992370605,0.0565654002130032,"Faitout Maouassa","a","5635","DirectFreekick","2020","LeftFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00",NA,"Standard"
"50","Ligue_1","375673","84","ShotOnPost",0.923000030517578,0.562000007629395,0.0983520969748497,"Martin Terrier","a","5611","OpenPlay","2020","RightFoot","13979","Lille","Rennes",1,1,"2020-08-22 19:00:00",NA,"None"
