"","league","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction"
"1","EPL","376477","6","SavedShot",0.785,0.248999996185303,0.0205275006592274,"Denis Odoi","h","7077","OpenPlay","2020","LeftFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Ivan Cavaleiro","Pass"
"2","EPL","376481","9","BlockedShot",0.933000030517578,0.342000007629395,0.0454294010996819,"Neeskens Kebano","h","6840","OpenPlay","2020","RightFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Ivan Cavaleiro","Cross"
"3","EPL","376487","55","MissedShots",0.813000030517578,0.318999996185303,0.0206722002476454,"Aboubakar Kamara","h","4866","SetPiece","2020","RightFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00",NA,"None"
"4","EPL","376490","66","SavedShot",0.803000030517578,0.655,0.0342145003378391,"Aleksandar Mitrovic","h","773","OpenPlay","2020","RightFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Franck Zambo","Pass"
"5","EPL","376494","89","MissedShots",0.595999984741211,0.292000007629395,0.00548285013064742,"Bobby Reid","h","6827","OpenPlay","2020","RightFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00",NA,"None"
"6","EPL","376478","7","MissedShots",0.848000030517578,0.602000007629395,0.0643524974584579,"Granit Xhaka","a","204","OpenPlay","2020","LeftFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Pierre-Emerick Aubameyang","Pass"
"7","EPL","376479","7","SavedShot",0.954000015258789,0.492999992370605,0.648782014846802,"Willian","a","700","OpenPlay","2020","RightFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00",NA,"Rebound"
"8","EPL","376480","8","Goal",0.974000015258789,0.47,0.758089005947113,"Alexandre Lacazette","a","3277","OpenPlay","2020","LeftFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00",NA,"Rebound"
"9","EPL","376482","20","BlockedShot",0.863000030517578,0.487000007629395,0.110151998698711,"Mohamed Elneny","a","496","OpenPlay","2020","RightFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Alexandre Lacazette","Pass"
"10","EPL","376483","20","MissedShots",0.818000030517578,0.520999984741211,0.0572240985929966,"Granit Xhaka","a","204","OpenPlay","2020","LeftFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00",NA,"Rebound"
"11","EPL","376484","26","ShotOnPost",0.803000030517578,0.497000007629395,0.135634005069733,"Willian","a","700","DirectFreekick","2020","RightFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00",NA,"Standard"
"12","EPL","376485","36","SavedShot",0.924000015258789,0.650999984741211,0.0817089974880219,"Pierre-Emerick Aubameyang","a","318","OpenPlay","2020","LeftFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Granit Xhaka","Chipped"
"13","EPL","376486","48","Goal",0.949000015258789,0.482000007629395,0.506097018718719,"Gabriel","a","5613","FromCorner","2020","OtherBodyPart","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Willian","Cross"
"14","EPL","376488","56","Goal",0.871999969482422,0.635999984741211,0.0943377986550331,"Pierre-Emerick Aubameyang","a","318","OpenPlay","2020","RightFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Willian","Chipped"
"15","EPL","376489","61","BlockedShot",0.734000015258789,0.449000015258789,0.052641898393631,"Granit Xhaka","a","204","DirectFreekick","2020","LeftFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00",NA,"Standard"
"16","EPL","376491","72","BlockedShot",0.794000015258789,0.530999984741211,0.0341520011425018,"Granit Xhaka","a","204","SetPiece","2020","LeftFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Willian","Pass"
"17","EPL","376492","77","BlockedShot",0.965999984741211,0.357999992370605,0.106533996760845,"Pierre-Emerick Aubameyang","a","318","OpenPlay","2020","RightFoot","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Héctor Bellerín","Pass"
"18","EPL","376493","77","MissedShots",0.969000015258789,0.41,0.0701839998364449,"Alexandre Lacazette","a","3277","FromCorner","2020","Head","14086","Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Nicolas Pepe","Cross"
"19","EPL","376518","12","Goal",0.92,0.560999984741211,0.502471029758453,"Wilfried Zaha","h","522","OpenPlay","2020","RightFoot","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","Andros Townsend","Cross"
"20","EPL","376520","35","SavedShot",0.905,0.510999984741211,0.364996999502182,"Cheikhou Kouyaté","h","532","SetPiece","2020","RightFoot","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","Andros Townsend","Cross"
"21","EPL","376526","74","SavedShot",0.899000015258789,0.41,0.0447278991341591,"Jordan Ayew","h","672","SetPiece","2020","Head","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","Luka Milivojevic","Cross"
"22","EPL","376527","79","MissedShots",0.91,0.45,0.0663262009620667,"James McArthur","h","633","FromCorner","2020","Head","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","Luka Milivojevic","Cross"
"23","EPL","376529","94","MissedShots",0.906999969482422,0.639000015258789,0.417163997888565,"Wilfried Zaha","h","522","OpenPlay","2020","RightFoot","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","James McArthur","TakeOn"
"24","EPL","376517","3","SavedShot",0.916999969482422,0.472000007629395,0.0894664004445076,"Jack Stephens","a","1735","FromCorner","2020","Head","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","James Ward-Prowse","Cross"
"25","EPL","376519","31","SavedShot",0.97,0.324000015258789,0.0225255992263556,"Danny Ings","a","986","OpenPlay","2020","Head","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00",NA,"None"
"26","EPL","376521","45","SavedShot",0.883000030517578,0.645999984741211,0.0721065998077393,"Nathan Redmond","a","790","OpenPlay","2020","RightFoot","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","Che Adams","Pass"
"27","EPL","376522","52","SavedShot",0.923000030517578,0.527999992370605,0.50636899471283,"Che Adams","a","7700","SetPiece","2020","RightFoot","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","Jannik Vestergaard","HeadPass"
"28","EPL","376523","55","BlockedShot",0.866999969482422,0.572999992370606,0.0678313970565796,"Danny Ings","a","986","OpenPlay","2020","RightFoot","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","Ryan Bertrand","HeadPass"
"29","EPL","376524","56","MissedShots",0.900999984741211,0.66,0.0673941001296043,"Nathan Redmond","a","790","OpenPlay","2020","LeftFoot","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","Danny Ings","Pass"
"30","EPL","376525","73","MissedShots",0.785999984741211,0.77,0.043417900800705,"James Ward-Prowse","a","843","DirectFreekick","2020","RightFoot","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00",NA,"Standard"
"31","EPL","376528","86","MissedShots",0.715,0.59,0.0411347001791,"James Ward-Prowse","a","843","DirectFreekick","2020","RightFoot","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00",NA,"Standard"
"32","EPL","376530","94","SavedShot",0.913000030517578,0.475,0.352427989244461,"Danny Ings","a","986","OpenPlay","2020","Head","14087","Crystal Palace","Southampton",1,0,"2020-09-12 14:00:00","Kyle Walker-Peters","Cross"
"33","EPL","376602","2","BlockedShot",0.875,0.347000007629395,0.0685561969876289,"Mohamed Salah","h","1250","OpenPlay","2020","LeftFoot","14090","Liverpool","Leeds",4,3,"2020-09-12 16:30:00","Sadio Mané","Pass"
"34","EPL","376603","3","Goal",0.885,0.5,0.761169016361237,"Mohamed Salah","h","1250","Penalty","2020","LeftFoot","14090","Liverpool","Leeds",4,3,"2020-09-12 16:30:00",NA,"Standard"
"35","EPL","376604","6","BlockedShot",0.86,0.322000007629395,0.060801200568676,"Mohamed Salah","h","1250","OpenPlay","2020","LeftFoot","14090","Liverpool","Leeds",4,3,"2020-09-12 16:30:00","Sadio Mané","Pass"
"36","EPL","376606","19","Goal",0.945999984741211,0.542000007629394,0.419313013553619,"Virgil van Dijk","h","833","FromCorner","2020","Head","14090","Liverpool","Leeds",4,3,"2020-09-12 16:30:00","Andrew Robertson","Cross"
"37","EPL","376607","24","SavedShot",0.734000015258789,0.374000015258789,0.0190702993422747,"Jordan Henderson","h","605","OpenPlay","2020","RightFoot","14090","Liverpool","Leeds",4,3,"2020-09-12 16:30:00",NA,"None"
"38","EPL","376608","28","BlockedShot",0.935999984741211,0.359000015258789,0.0940660014748573,"Naby Keita","h","5247","OpenPlay","2020","RightFoot","14090","Liverpool","Leeds",4,3,"2020-09-12 16:30:00",NA,"None"
