"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away"
"Frauen-Bundesliga","F","GER",2020,"Bayern Munich","team","2","11","9","1","1","28","6","+22","28","2.55","11","8","2","1","32","8","+24","26","2.36"
"Frauen-Bundesliga","F","GER",2020,"Essen","team","5","11","8","1","2","26","15","+11","25","2.27","11","3","1","7","15","24","-9","10","0.91"
"Frauen-Bundesliga","F","GER",2020,"FFC Frankfurt","team","6","11","6","2","3","24","18","+6","20","1.82","11","4","1","6","20","29","-9","13","1.18"
"Frauen-Bundesliga","F","GER",2020,"Freiburg","team","7","12","4","4","4","28","27","+1","16","1.33","10","5","0","5","15","20","-5","15","1.50"
"Frauen-Bundesliga","F","GER",2020,"Hoffenheim","team","3","11","10","0","1","37","8","+29","30","2.73","11","6","1","4","30","16","+14","19","1.73"
"Frauen-Bundesliga","F","GER",2020,"Köln","team","11","11","5","0","6","13","24","-11","15","1.36","11","0","2","9","9","36","-27","2","0.18"
"Frauen-Bundesliga","F","GER",2020,"Leverkusen","team","10","11","4","0","7","12","26","-14","12","1.09","11","1","2","8","10","25","-15","5","0.45"
"Frauen-Bundesliga","F","GER",2020,"MSV Duisburg","team","9","11","1","4","6","7","23","-16","7","0.64","11","3","1","7","12","24","-12","10","0.91"
"Frauen-Bundesliga","F","GER",2020,"Sand","team","8","11","5","0","6","13","26","-13","15","1.36","11","3","1","7","11","17","-6","10","0.91"
"Frauen-Bundesliga","F","GER",2020,"Turbine Potsdam","team","4","11","8","0","3","28","21","+7","24","2.18","11","4","1","6","24","24","0","13","1.18"
"Frauen-Bundesliga","F","GER",2020,"USV Jena","team","12","10","0","2","8","7","37","-30","2","0.20","12","0","2","10","8","40","-32","2","0.17"
"Frauen-Bundesliga","F","GER",2020,"Wolfsburg","team","1","11","10","1","0","43","5","+38","31","2.82","11","10","1","0","50","3","+47","31","2.82"
