"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"EFL Championship","M","ENG",2022,"Barnsley","team","24","23","5","7","11","18","29","-11","22","0.96","22.5","35.1","-12.6","-0.55","23","1","5","17","15","44","-29","8","0.35","21.0","45.7","-24.7","-1.07"
"EFL Championship","M","ENG",2022,"Birmingham City","team","20","23","7","6","10","27","33","-6","27","1.17","30.0","28.5","+1.6","+0.07","23","4","8","11","23","42","-19","20","0.87","30.2","33.2","-3.1","-0.13"
"EFL Championship","M","ENG",2022,"Blackburn","team","8","23","12","5","6","36","26","+10","41","1.78","37.7","29.1","+8.5","+0.37","23","7","7","9","23","24","-1","28","1.22","23.0","28.4","-5.4","-0.24"
"EFL Championship","M","ENG",2022,"Blackpool","team","16","23","11","3","9","29","26","+3","36","1.57","33.7","33.4","+0.3","+0.02","23","5","9","9","25","32","-7","24","1.04","23.8","32.1","-8.3","-0.36"
"EFL Championship","M","ENG",2022,"Bournemouth","team","2","23","13","7","3","41","21","+20","46","2.00","40.2","21.7","+18.5","+0.80","23","12","6","5","33","18","+15","42","1.83","34.8","24.7","+10.2","+0.44"
"EFL Championship","M","ENG",2022,"Bristol City","team","17","23","8","8","7","33","29","+4","32","1.39","33.0","36.6","-3.7","-0.16","23","7","2","14","29","48","-19","23","1.00","26.2","40.7","-14.5","-0.63"
"EFL Championship","M","ENG",2022,"Cardiff City","team","18","23","7","4","12","22","29","-7","25","1.09","28.4","25.0","+3.5","+0.15","23","8","4","11","28","39","-11","28","1.22","29.7","34.9","-5.2","-0.23"
"EFL Championship","M","ENG",2022,"Coventry City","team","12","23","10","5","8","32","26","+6","35","1.52","37.8","23.5","+14.3","+0.62","23","7","8","8","28","33","-5","29","1.26","36.4","31.8","+4.6","+0.20"
"EFL Championship","M","ENG",2022,"Derby County","team","23","23","11","7","5","30","22","+8","40","1.74","26.6","30.1","-3.5","-0.15","23","3","6","14","15","31","-16","15","0.65","19.6","34.2","-14.6","-0.64"
"EFL Championship","M","ENG",2022,"Fulham","team","1","23","14","4","5","56","20","+36","46","2.00","54.7","21.7","+33.0","+1.43","23","13","5","5","50","23","+27","44","1.91","40.4","21.7","+18.7","+0.81"
"EFL Championship","M","ENG",2022,"Huddersfield","team","3","23","13","6","4","35","23","+12","45","1.96","28.1","23.7","+4.4","+0.19","23","10","7","6","29","24","+5","37","1.61","30.0","32.5","-2.5","-0.11"
"EFL Championship","M","ENG",2022,"Hull City","team","19","23","7","4","12","22","28","-6","25","1.09","28.5","35.0","-6.5","-0.28","23","7","5","11","19","26","-7","26","1.13","21.1","31.8","-10.7","-0.47"
"EFL Championship","M","ENG",2022,"Luton Town","team","6","23","12","7","4","37","22","+15","43","1.87","34.2","25.0","+9.2","+0.40","23","9","5","9","26","33","-7","32","1.39","28.0","29.8","-1.8","-0.08"
"EFL Championship","M","ENG",2022,"Middlesbrough","team","7","23","14","2","7","34","21","+13","44","1.91","36.8","22.1","+14.7","+0.64","23","6","8","9","25","29","-4","26","1.13","32.5","27.1","+5.4","+0.24"
"EFL Championship","M","ENG",2022,"Millwall","team","9","23","13","6","4","32","16","+16","45","1.96","33.3","28.0","+5.3","+0.23","23","5","9","9","21","29","-8","24","1.04","25.0","36.2","-11.1","-0.48"
"EFL Championship","M","ENG",2022,"Nott'ham Forest","team","4","23","13","4","6","43","22","+21","43","1.87","36.3","23.9","+12.5","+0.54","23","10","7","6","30","18","+12","37","1.61","32.4","30.6","+1.8","+0.08"
"EFL Championship","M","ENG",2022,"P'borough Utd","team","22","23","6","7","10","27","33","-6","25","1.09","27.2","34.9","-7.7","-0.33","23","3","3","17","16","54","-38","12","0.52","19.5","50.4","-30.9","-1.34"
"EFL Championship","M","ENG",2022,"Preston","team","13","23","9","10","4","33","28","+5","37","1.61","32.0","31.5","+0.5","+0.02","23","7","6","10","19","28","-9","27","1.17","25.3","26.1","-0.8","-0.04"
"EFL Championship","M","ENG",2022,"QPR","team","11","23","10","6","7","30","25","+5","36","1.57","30.0","30.7","-0.7","-0.03","23","9","3","11","30","34","-4","30","1.30","27.7","33.0","-5.3","-0.23"
"EFL Championship","M","ENG",2022,"Reading","team","21","23","7","5","11","33","44","-11","26","1.13","26.0","33.9","-7.9","-0.34","23","6","3","14","21","43","-22","21","0.91","23.8","41.6","-17.8","-0.77"
"EFL Championship","M","ENG",2022,"Sheffield Utd","team","5","23","13","5","5","38","15","+23","44","1.91","42.1","22.9","+19.3","+0.84","23","8","7","8","25","30","-5","31","1.35","30.6","29.6","+1.0","+0.04"
"EFL Championship","M","ENG",2022,"Stoke City","team","14","23","10","5","8","30","23","+7","35","1.52","26.7","22.5","+4.2","+0.18","23","7","6","10","27","29","-2","27","1.17","30.5","35.4","-4.9","-0.21"
"EFL Championship","M","ENG",2022,"Swansea City","team","15","23","9","8","6","30","27","+3","35","1.52","26.5","30.8","-4.3","-0.19","23","7","5","11","28","41","-13","26","1.13","25.8","38.8","-13.0","-0.57"
"EFL Championship","M","ENG",2022,"West Brom","team","10","23","12","8","3","33","16","+17","44","1.91","43.6","20.3","+23.3","+1.02","23","6","5","12","19","29","-10","23","1.00","32.2","25.6","+6.7","+0.29"
