"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"EFL Championship","M","ENG",2019,"Aston Villa","team","5","23","11","8","4","50","36","+14","41","1.78","44.5","30.7","+13.9","+0.60","23","9","8","6","32","25","+7","35","1.52","29.2","26.7","+2.5","+0.11"
"EFL Championship","M","ENG",2019,"Birmingham City","team","17","23","7","11","5","31","24","+7","32","1.39","30.4","25.7","+4.7","+0.20","23","7","8","8","33","34","-1","29","1.26","25.4","33.0","-7.6","-0.33"
"EFL Championship","M","ENG",2019,"Blackburn","team","15","23","10","7","6","32","21","+11","37","1.61","35.7","28.3","+7.4","+0.32","23","6","5","12","32","48","-16","23","1.00","27.9","38.5","-10.6","-0.46"
"EFL Championship","M","ENG",2019,"Bolton","team","23","23","4","4","15","13","35","-22","16","0.70","16.0","31.6","-15.6","-0.71","23","4","4","15","16","43","-27","16","0.70","19.9","36.1","-16.2","-0.70"
"EFL Championship","M","ENG",2019,"Brentford","team","11","23","14","4","5","50","23","+27","46","2.00","39.9","22.2","+17.7","+0.77","23","3","9","11","23","36","-13","18","0.78","22.4","33.3","-10.9","-0.49"
"EFL Championship","M","ENG",2019,"Bristol City","team","8","23","8","8","7","28","26","+2","32","1.39","32.1","24.4","+7.7","+0.33","23","11","5","7","31","27","+4","38","1.65","33.9","34.8","-0.9","-0.04"
"EFL Championship","M","ENG",2019,"Derby County","team","6","23","13","7","3","40","20","+20","46","2.00","33.1","21.3","+11.8","+0.51","23","7","7","9","29","34","-5","28","1.22","22.6","35.7","-13.1","-0.57"
"EFL Championship","M","ENG",2019,"Hull City","team","13","23","11","6","6","37","24","+13","39","1.70","35.0","28.1","+6.9","+0.30","23","6","5","12","29","44","-15","23","1.00","26.9","39.7","-12.8","-0.56"
"EFL Championship","M","ENG",2019,"Ipswich Town","team","24","23","3","11","9","22","31","-9","20","0.87","18.2","35.5","-17.3","-0.75","23","2","5","16","14","46","-32","11","0.48","15.0","41.5","-26.5","-1.15"
"EFL Championship","M","ENG",2019,"Leeds United","team","3","23","14","4","5","38","21","+17","46","2.00","44.1","20.0","+24.1","+1.05","23","11","4","8","35","29","+6","37","1.61","33.9","19.1","+14.8","+0.64"
"EFL Championship","M","ENG",2019,"Middlesbrough","team","7","23","10","6","7","23","17","+6","36","1.57","35.3","27.1","+8.2","+0.35","23","10","7","6","26","24","+2","37","1.61","27.8","29.8","-1.9","-0.08"
"EFL Championship","M","ENG",2019,"Millwall","team","21","23","7","9","7","26","27","-1","30","1.30","30.1","26.6","+3.5","+0.15","23","3","5","15","22","37","-15","14","0.61","27.5","32.2","-4.6","-0.20"
"EFL Championship","M","ENG",2019,"Norwich City","team","1","23","15","4","4","51","34","+17","49","2.13","40.7","20.1","+20.6","+0.90","23","12","9","2","42","23","+19","45","1.96","37.7","27.4","+10.3","+0.45"
"EFL Championship","M","ENG",2019,"Nott'ham Forest","team","9","23","13","4","6","34","21","+13","43","1.87","30.4","27.0","+3.5","+0.15","23","4","11","8","27","33","-6","23","1.00","26.1","36.0","-9.9","-0.43"
"EFL Championship","M","ENG",2019,"Preston","team","14","23","8","10","5","41","30","+11","34","1.48","33.4","27.8","+5.6","+0.24","23","8","3","12","26","37","-11","27","1.17","23.6","33.4","-9.8","-0.43"
"EFL Championship","M","ENG",2019,"QPR","team","19","23","9","3","11","33","31","+2","30","1.30","34.6","29.1","+5.4","+0.24","23","5","6","12","20","40","-20","21","0.91","24.8","37.3","-12.5","-0.55"
"EFL Championship","M","ENG",2019,"Reading","team","20","23","8","6","9","29","31","-2","30","1.30","24.1","33.4","-9.2","-0.40","23","2","11","10","20","35","-15","17","0.74","24.7","48.6","-23.9","-1.04"
"EFL Championship","M","ENG",2019,"Rotherham Utd","team","22","23","7","8","8","32","38","-6","29","1.26","33.2","37.2","-4.0","-0.17","23","1","8","14","20","45","-25","11","0.48","20.8","38.2","-17.3","-0.75"
"EFL Championship","M","ENG",2019,"Sheffield Utd","team","2","23","15","4","4","42","17","+25","49","2.13","39.0","21.6","+17.4","+0.76","23","11","7","5","36","24","+12","40","1.74","35.7","20.7","+15.0","+0.65"
"EFL Championship","M","ENG",2019,"Sheffield Weds","team","12","23","10","8","5","34","27","+7","38","1.65","33.2","27.5","+5.7","+0.25","23","6","8","9","26","35","-9","26","1.13","22.1","35.3","-13.2","-0.57"
"EFL Championship","M","ENG",2019,"Stoke City","team","16","23","8","9","6","26","24","+2","33","1.43","28.4","21.8","+6.6","+0.29","23","3","13","7","19","28","-9","22","0.96","24.6","32.5","-7.8","-0.34"
"EFL Championship","M","ENG",2019,"Swansea City","team","10","23","12","6","5","42","28","+14","42","1.83","43.6","23.4","+20.2","+0.88","23","6","5","12","23","34","-11","23","1.00","28.4","32.5","-4.1","-0.18"
"EFL Championship","M","ENG",2019,"West Brom","team","4","23","12","7","4","53","31","+22","43","1.87","44.0","25.2","+18.8","+0.82","23","11","4","8","34","31","+3","37","1.61","30.6","36.4","-5.8","-0.25"
"EFL Championship","M","ENG",2019,"Wigan Athletic","team","18","23","11","8","4","29","20","+9","41","1.78","36.8","27.3","+9.5","+0.41","23","2","5","16","22","44","-22","11","0.48","31.6","37.5","-6.0","-0.26"
