"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Ligue 2","M","FRA",2021,"Ajaccio","team","13","19","8","6","5","21","17","+4","30","1.58","26.2","16.7","+9.5","+0.50","19","3","7","9","13","26","-13","16","0.84","23.2","25.8","-2.7","-0.14"
"Ligue 2","M","FRA",2021,"Amiens","team","10","19","7","8","4","15","12","+3","29","1.53","19.3","16.8","+2.5","+0.13","19","4","6","9","19","28","-9","18","0.95","19.1","24.8","-5.7","-0.30"
"Ligue 2","M","FRA",2021,"Auxerre","team","6","19","10","6","3","38","18","+20","36","1.89","31.7","22.1","+9.6","+0.50","19","6","8","5","26","25","+1","26","1.37","25.6","27.0","-1.5","-0.08"
"Ligue 2","M","FRA",2021,"Caen","team","17","19","6","9","4","17","19","-2","27","1.42","20.1","19.4","+0.8","+0.04","19","3","5","11","17","30","-13","14","0.74","22.5","26.9","-4.5","-0.24"
"Ligue 2","M","FRA",2021,"Chambly Oise","team","19","19","7","3","9","21","27","-6","24","1.26","19.7","27.7","-8.0","-0.42","19","2","8","9","20","37","-17","14","0.74","19.3","36.5","-17.2","-0.91"
"Ligue 2","M","FRA",2021,"Châteauroux","team","20","19","3","5","11","21","31","-10","14","0.74","22.1","26.7","-4.6","-0.24","19","1","6","12","11","27","-16","9","0.47","16.8","22.6","-5.8","-0.30"
"Ligue 2","M","FRA",2021,"Clermont Foot","team","2","19","13","5","1","37","9","+28","44","2.32","37.0","14.2","+22.8","+1.20","19","8","4","7","24","16","+8","28","1.47","28.2","19.6","+8.6","+0.45"
"Ligue 2","M","FRA",2021,"Dunkerque","team","16","19","6","8","5","22","18","+4","26","1.37","19.4","25.9","-6.5","-0.34","19","4","3","12","12","29","-17","15","0.79","16.5","30.2","-13.8","-0.72"
"Ligue 2","M","FRA",2021,"Grenoble","team","4","19","12","6","1","35","14","+21","42","2.21","29.4","20.6","+8.8","+0.46","19","6","5","8","16","21","-5","23","1.21","19.0","21.2","-2.1","-0.11"
"Ligue 2","M","FRA",2021,"Guingamp","team","9","19","4","10","5","19","23","-4","22","1.16","20.3","22.7","-2.4","-0.13","19","6","7","6","22","20","+2","25","1.32","23.4","24.1","-0.7","-0.04"
"Ligue 2","M","FRA",2021,"Le Havre","team","12","19","4","8","7","16","23","-7","20","1.05","20.2","22.0","-1.8","-0.09","19","7","6","6","22","25","-3","27","1.42","21.2","26.0","-4.8","-0.25"
"Ligue 2","M","FRA",2021,"Nancy","team","8","19","6","8","5","28","28","0","26","1.37","21.8","23.5","-1.7","-0.09","19","5","6","8","25","25","0","21","1.11","24.8","25.5","-0.6","-0.03"
"Ligue 2","M","FRA",2021,"Niort","team","18","20","7","6","7","19","25","-6","27","1.35","22.0","26.0","-4.1","-0.23","20","3","8","9","18","36","-18","17","0.85","17.5","29.5","-12.0","-0.63"
"Ligue 2","M","FRA",2021,"Paris FC","team","5","19","11","5","3","31","18","+13","38","2.00","29.8","16.7","+13.1","+0.69","19","6","8","5","22","19","+3","26","1.37","25.5","20.2","+5.3","+0.28"
"Ligue 2","M","FRA",2021,"Pau FC","team","14","19","9","5","5","26","19","+7","32","1.68","24.5","25.5","-0.9","-0.05","19","2","6","11","16","30","-14","12","0.63","18.8","25.7","-6.9","-0.36"
"Ligue 2","M","FRA",2021,"Rodez Aveyron","team","15","19","6","9","4","23","20","+3","27","1.42","24.1","22.3","+1.8","+0.10","19","2","10","7","15","24","-9","16","0.84","17.9","24.9","-7.0","-0.37"
"Ligue 2","M","FRA",2021,"Sochaux","team","7","19","6","7","6","24","22","+2","25","1.32","27.1","23.5","+3.6","+0.19","19","6","8","5","21","15","+6","26","1.37","21.5","18.6","+2.9","+0.15"
"Ligue 2","M","FRA",2021,"Toulouse","team","3","19","13","4","2","44","18","+26","43","2.26","33.6","18.0","+15.6","+0.82","19","7","6","6","27","24","+3","27","1.42","28.7","24.9","+3.8","+0.20"
"Ligue 2","M","FRA",2021,"Troyes","team","1","19","15","3","1","32","15","+17","48","2.53","31.2","21.2","+10.0","+0.52","19","8","5","6","28","21","+7","29","1.53","32.6","18.6","+14.0","+0.73"
"Ligue 2","M","FRA",2021,"Valenciennes","team","11","19","7","6","6","24","23","+1","27","1.42","20.8","28.2","-7.3","-0.39","19","5","5","9","26","36","-10","20","1.05","17.9","27.8","-9.9","-0.55"
