"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"FA Women's Super League","F","ENG",2019,"Arsenal","team","1","10","9","0","1","33","8","+25","27","2.70","22.7","5.4","+17.4","+1.74","10","9","0","1","37","5","+32","27","2.70","23.0","6.4","+16.6","+1.66"
"FA Women's Super League","F","ENG",2019,"Birmingham City","team","4","10","6","1","3","13","7","+6","19","1.90","10.9","11.2","-0.4","-0.04","10","7","0","3","16","10","+6","21","2.10","13.9","10.0","+3.8","+0.38"
"FA Women's Super League","F","ENG",2019,"Brighton","team","9","10","2","1","7","5","23","-18","7","0.70","8.0","13.9","-5.9","-0.59","10","2","3","5","11","15","-4","9","0.90","11.7","13.0","-1.2","-0.12"
"FA Women's Super League","F","ENG",2019,"Bristol City","team","6","10","3","3","4","7","11","-4","12","1.20","6.0","19.3","-13.4","-1.34","10","4","1","5","10","23","-13","13","1.30","8.1","17.3","-9.2","-0.92"
"FA Women's Super League","F","ENG",2019,"Chelsea","team","3","10","6","2","2","21","9","+12","20","2.00","20.6","6.9","+13.8","+1.38","10","6","4","0","25","5","+20","22","2.20","23.0","6.5","+16.5","+1.65"
"FA Women's Super League","F","ENG",2019,"Everton","team","10","10","2","2","6","10","22","-12","8","0.80","9.7","16.2","-6.5","-0.65","10","1","1","8","5","16","-11","4","0.40","10.4","14.0","-3.6","-0.36"
"FA Women's Super League","F","ENG",2019,"Liverpool","team","8","10","4","0","6","12","21","-9","12","1.20","12.0","13.1","-1.1","-0.11","10","3","1","6","9","17","-8","10","1.00","10.4","13.8","-3.5","-0.35"
"FA Women's Super League","F","ENG",2019,"Manchester City","team","2","10","7","3","0","25","9","+16","24","2.40","25.2","9.6","+15.6","+1.56","10","7","2","1","28","8","+20","23","2.30","22.1","10.5","+11.7","+1.17"
"FA Women's Super League","F","ENG",2019,"Reading","team","5","10","4","1","5","18","16","+2","13","1.30","18.2","15.4","+2.8","+0.28","10","4","2","4","15","14","+1","14","1.40","12.0","12.5","-0.4","-0.04"
"FA Women's Super League","F","ENG",2019,"West Ham","team","7","10","2","1","7","8","18","-10","7","0.70","7.5","14.4","-7.0","-0.70","10","5","1","4","17","19","-2","16","1.60","13.9","16.7","-2.8","-0.28"
"FA Women's Super League","F","ENG",2019,"Yeovil Town","team","11","10","1","1","8","4","36","-32","4","0.40","6.8","29.1","-22.4","-2.24","10","1","0","9","7","24","-17","3","0.30","5.9","26.7","-20.8","-2.08"
