"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away"
"Frauen-Bundesliga","F","GER",2022,"Bayern Munich","team","2","11","10","0","1","48","5","+43","30","2.73","11","8","1","2","30","13","+17","25","2.27"
"Frauen-Bundesliga","F","GER",2022,"Carl-Zeiss Jena","team","12","11","0","1","10","6","49","-43","1","0.09","11","1","1","9","3","39","-36","4","0.36"
"Frauen-Bundesliga","F","GER",2022,"Eint Frankfurt","team","3","11","8","1","2","30","15","+15","25","2.27","11","7","0","4","19","11","+8","21","1.91"
"Frauen-Bundesliga","F","GER",2022,"Essen","team","10","11","2","4","5","11","18","-7","10","0.91","11","2","1","8","12","23","-11","7","0.64"
"Frauen-Bundesliga","F","GER",2022,"Freiburg","team","6","11","4","3","4","24","15","+9","15","1.36","11","5","2","4","16","16","0","17","1.55"
"Frauen-Bundesliga","F","GER",2022,"Hoffenheim","team","5","11","7","2","2","35","16","+19","23","2.09","11","5","3","3","21","16","+5","18","1.64"
"Frauen-Bundesliga","F","GER",2022,"Köln","team","8","11","3","3","5","11","21","-10","12","1.09","11","2","4","5","11","24","-13","10","0.91"
"Frauen-Bundesliga","F","GER",2022,"Leverkusen","team","7","11","3","2","6","14","18","-4","11","1.00","11","3","2","6","17","32","-15","11","1.00"
"Frauen-Bundesliga","F","GER",2022,"Sand","team","11","11","2","3","6","6","14","-8","9","0.82","11","1","1","9","10","31","-21","4","0.36"
"Frauen-Bundesliga","F","GER",2022,"Turbine Potsdam","team","4","11","7","2","2","27","14","+13","23","2.09","11","6","2","3","25","15","+10","20","1.82"
"Frauen-Bundesliga","F","GER",2022,"Werder Bremen","team","9","11","3","2","6","3","15","-12","11","1.00","11","1","4","6","6","31","-25","7","0.64"
"Frauen-Bundesliga","F","GER",2022,"Wolfsburg","team","1","11","11","0","0","46","6","+40","33","3.00","11","8","2","1","36","10","+26","26","2.36"
