"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"FA Women's Super League","F","ENG",2021,"Arsenal","team","3","11","8","2","1","30","6","+24","26","2.36","24.3","7.1","+17.2","+1.56","11","7","1","3","33","9","+24","22","2.00","23.9","7.4","+16.5","+1.50"
"FA Women's Super League","F","ENG",2021,"Aston Villa","team","10","11","1","3","7","5","25","-20","6","0.55","7.6","18.8","-11.2","-1.02","11","2","3","6","10","22","-12","9","0.82","5.9","16.5","-10.6","-0.96"
"FA Women's Super League","F","ENG",2021,"Birmingham City","team","11","11","0","4","7","6","24","-18","4","0.36","4.2","15.1","-11.0","-1.00","11","3","2","6","9","20","-11","11","1.00","6.4","19.9","-13.4","-1.34"
"FA Women's Super League","F","ENG",2021,"Brighton","team","6","11","5","0","6","11","24","-13","15","1.36","9.2","16.0","-6.8","-0.62","11","3","3","5","10","17","-7","12","1.09","8.6","19.8","-11.2","-1.02"
"FA Women's Super League","F","ENG",2021,"Bristol City","team","12","11","2","1","8","8","33","-25","7","0.64","7.6","23.5","-15.9","-1.44","11","0","5","6","10","39","-29","5","0.45","7.8","26.2","-18.4","-1.67"
"FA Women's Super League","F","ENG",2021,"Chelsea","team","1","11","10","0","1","42","6","+36","30","2.73","28.9","6.2","+22.7","+2.06","11","8","3","0","27","4","+23","27","2.45","24.7","6.5","+18.3","+1.66"
"FA Women's Super League","F","ENG",2021,"Everton","team","5","11","4","3","4","16","16","0","15","1.36","14.0","13.6","+0.3","+0.03","11","5","2","4","23","14","+9","17","1.55","15.4","13.5","+1.9","+0.17"
"FA Women's Super League","F","ENG",2021,"Manchester City","team","2","11","9","2","0","36","5","+31","29","2.64","28.2","3.8","+24.4","+2.22","11","8","2","1","29","8","+21","26","2.36","25.9","7.2","+18.7","+1.70"
"FA Women's Super League","F","ENG",2021,"Manchester Utd","team","4","11","8","2","1","26","7","+19","26","2.36","21.1","9.9","+11.2","+1.02","11","7","0","4","18","13","+5","21","1.91","17.8","8.9","+8.8","+0.80"
"FA Women's Super League","F","ENG",2021,"Reading","team","7","11","2","5","4","11","20","-9","11","1.00","13.9","15.0","-1.1","-0.10","11","3","4","4","14","21","-7","13","1.18","12.1","18.2","-6.1","-0.56"
"FA Women's Super League","F","ENG",2021,"Tottenham","team","8","11","3","3","5","11","17","-6","12","1.09","9.4","16.4","-7.0","-0.70","11","2","2","7","7","24","-17","8","0.73","7.1","16.1","-9.0","-0.82"
"FA Women's Super League","F","ENG",2021,"West Ham","team","9","11","0","4","7","6","22","-16","4","0.36","8.9","21.1","-12.2","-1.11","11","3","2","6","15","17","-2","11","1.00","10.9","17.1","-6.2","-0.57"
