"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Premier League","M","ENG",2019,"Arsenal","team","5","19","14","3","2","42","16","+26","45","2.37","34.6","23.5","+11.0","+0.58","19","7","4","8","31","35","-4","25","1.32","25.5","30.7","-5.2","-0.27"
"Premier League","M","ENG",2019,"Bournemouth","team","14","19","8","5","6","30","25","+5","29","1.53","27.7","25.2","+2.5","+0.13","19","5","1","13","26","45","-19","16","0.84","25.6","32.0","-6.4","-0.34"
"Premier League","M","ENG",2019,"Brighton","team","17","19","6","5","8","19","28","-9","23","1.21","19.9","24.0","-4.1","-0.22","19","3","4","12","16","32","-16","13","0.68","15.4","35.1","-19.7","-1.04"
"Premier League","M","ENG",2019,"Burnley","team","15","19","7","2","10","24","32","-8","23","1.21","25.6","26.3","-0.8","-0.04","19","4","5","10","21","36","-15","17","0.89","18.8","35.7","-16.9","-0.89"
"Premier League","M","ENG",2019,"Cardiff City","team","18","19","6","2","11","21","38","-17","20","1.05","24.6","25.5","-1.0","-0.05","19","4","2","13","13","31","-18","14","0.74","17.8","35.9","-18.2","-0.96"
"Premier League","M","ENG",2019,"Chelsea","team","3","19","12","6","1","39","12","+27","42","2.21","31.0","14.4","+16.6","+0.87","19","9","3","7","24","27","-3","30","1.58","27.6","22.0","+5.6","+0.29"
"Premier League","M","ENG",2019,"Crystal Palace","team","12","19","5","5","9","19","23","-4","20","1.05","28.1","23.5","+4.7","+0.25","19","9","2","8","32","30","+2","29","1.53","19.5","26.6","-7.2","-0.38"
"Premier League","M","ENG",2019,"Everton","team","8","19","10","4","5","30","21","+9","34","1.79","28.0","21.7","+6.2","+0.33","19","5","5","9","24","25","-1","20","1.05","21.7","24.0","-2.3","-0.12"
"Premier League","M","ENG",2019,"Fulham","team","19","19","6","3","10","22","36","-14","21","1.11","24.0","27.8","-3.7","-0.20","19","1","2","16","12","45","-33","5","0.26","17.3","40.4","-23.1","-1.22"
"Premier League","M","ENG",2019,"Huddersfield","team","20","19","2","3","14","10","31","-21","9","0.47","16.2","28.0","-11.8","-0.62","19","1","4","14","12","45","-33","7","0.37","12.6","32.9","-20.3","-1.07"
"Premier League","M","ENG",2019,"Leicester City","team","9","19","8","3","8","24","20","+4","27","1.42","26.3","19.9","+6.5","+0.34","19","7","4","8","27","28","-1","25","1.32","26.1","23.8","+2.3","+0.12"
"Premier League","M","ENG",2019,"Liverpool","team","2","19","17","2","0","55","10","+45","53","2.79","42.2","13.2","+28.9","+1.52","19","13","5","1","34","12","+22","44","2.32","31.6","15.6","+16.0","+0.84"
"Premier League","M","ENG",2019,"Manchester City","team","1","19","18","0","1","57","12","+45","54","2.84","50.1","13.5","+36.6","+1.93","19","14","2","3","38","11","+27","44","2.32","34.2","11.3","+23.0","+1.21"
"Premier League","M","ENG",2019,"Manchester Utd","team","6","19","10","6","3","33","25","+8","36","1.89","31.8","21.6","+10.2","+0.54","19","9","3","7","32","29","+3","30","1.58","29.7","29.0","+0.6","+0.03"
"Premier League","M","ENG",2019,"Newcastle Utd","team","13","19","8","1","10","24","25","-1","25","1.32","22.6","25.2","-2.6","-0.14","19","4","8","7","18","23","-5","20","1.05","16.5","28.3","-11.9","-0.62"
"Premier League","M","ENG",2019,"Southampton","team","16","19","5","8","6","27","30","-3","23","1.21","24.6","25.0","-0.4","-0.02","19","4","4","11","18","35","-17","16","0.84","22.3","30.1","-7.8","-0.41"
"Premier League","M","ENG",2019,"Tottenham","team","4","19","12","2","5","34","16","+18","38","2.00","31.3","24.3","+6.9","+0.36","19","11","0","8","33","23","+10","33","1.74","23.6","22.8","+0.8","+0.04"
"Premier League","M","ENG",2019,"Watford","team","11","19","8","3","8","26","28","-2","27","1.42","23.1","29.2","-6.2","-0.32","19","6","5","8","26","31","-5","23","1.21","25.2","30.0","-4.8","-0.25"
"Premier League","M","ENG",2019,"West Ham","team","10","19","9","4","6","32","27","+5","31","1.63","25.2","23.3","+1.9","+0.10","19","6","3","10","20","28","-8","21","1.11","22.5","38.6","-16.2","-0.85"
"Premier League","M","ENG",2019,"Wolves","team","7","19","10","4","5","28","21","+7","34","1.79","31.3","18.9","+12.4","+0.65","19","6","5","8","19","25","-6","23","1.21","20.9","23.2","-2.3","-0.12"
