"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Frauen-Bundesliga","F","GER",2023,"Bayern Munich","team","1","11","11","0","0","41","5","+36","33","3.00","28.0","5.0","+23.0","+2.09","11","8","2","1","26","3","+23","26","2.36","22.4","5.5","+16.9","+1.53"
"Frauen-Bundesliga","F","GER",2023,"Eint Frankfurt","team","3","11","9","2","0","33","8","+25","29","2.64","21.6","7.4","+14.2","+1.29","11","8","1","2","24","14","+10","25","2.27","19.9","9.3","+10.6","+0.96"
"Frauen-Bundesliga","F","GER",2023,"Essen","team","7","11","4","3","4","12","14","-2","15","1.36","11.8","9.8","+1.9","+0.18","11","2","2","7","14","28","-14","8","0.73","12.0","16.8","-4.8","-0.44"
"Frauen-Bundesliga","F","GER",2023,"Freiburg","team","6","11","4","1","6","19","23","-4","13","1.18","16.9","17.1","-0.2","-0.02","11","3","2","6","17","24","-7","11","1.00","14.8","15.8","-1.0","-0.09"
"Frauen-Bundesliga","F","GER",2023,"Hoffenheim","team","4","11","8","1","2","37","13","+24","25","2.27","22.5","13.9","+8.6","+0.78","11","7","2","2","18","12","+6","23","2.09","17.9","12.4","+5.5","+0.50"
"Frauen-Bundesliga","F","GER",2023,"Köln","team","9","11","4","3","4","15","17","-2","15","1.36","16.0","16.3","-0.3","-0.03","11","1","1","9","5","27","-22","4","0.36","9.7","16.7","-7.0","-0.64"
"Frauen-Bundesliga","F","GER",2023,"Leverkusen","team","5","11","5","1","5","17","11","+6","16","1.45","13.2","12.3","+0.9","+0.08","11","4","2","5","14","17","-3","14","1.27","12.5","12.7","-0.2","-0.02"
"Frauen-Bundesliga","F","GER",2023,"MSV Duisburg","team","10","11","3","1","7","7","19","-12","10","0.91","7.1","22.8","-15.7","-1.43","11","2","2","7","8","28","-20","8","0.73","4.1","26.6","-22.5","-2.04"
"Frauen-Bundesliga","F","GER",2023,"SV Meppen","team","11","11","3","1","7","10","15","-5","10","0.91","8.4","17.7","-9.3","-0.85","11","2","1","8","6","25","-19","7","0.64","8.9","23.2","-14.3","-1.30"
"Frauen-Bundesliga","F","GER",2023,"Turbine Potsdam","team","12","11","1","1","9","6","28","-22","4","0.36","6.4","21.8","-15.4","-1.40","11","1","1","9","7","40","-33","4","0.36","7.8","25.0","-17.3","-1.57"
"Frauen-Bundesliga","F","GER",2023,"Werder Bremen","team","8","11","2","4","5","9","15","-6","10","0.91","8.4","16.2","-7.8","-0.71","11","3","2","6","7","24","-17","11","1.00","9.4","19.4","-10.0","-0.91"
"Frauen-Bundesliga","F","GER",2023,"Wolfsburg","team","2","11","10","0","1","47","6","+41","30","2.73","31.0","7.6","+23.3","+2.12","11","9","0","2","28","11","+17","27","2.45","28.6","7.7","+20.9","+1.90"
