"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Url"
2022,"Alavés","La Liga","Fernando Pacheco","ESP","GK","29",1992,33.9,9,0.27,8,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
2022,"Alavés","La Liga","Facundo Pellistri","URU","MF,FW","19",2001,7.5,17,2.28,12,0,1,0,3,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ac7e7b1c/Facundo-Pellistri"
2022,"Alavés","La Liga","Tomás Pina Isla","ESP","MF","33",1987,16,16,1,11,0,0,0,5,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e54bd0a2/Tomas-Pina-Isla"
2022,"Alavés","La Liga","Pere Pons","ESP","MF","28",1993,15.2,22,1.45,16,0,2,0,2,2,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/29b61deb/Pere-Pons"
2022,"Alavés","La Liga","Luis Rioja","ESP","MF,FW","27",1993,34.6,92,2.66,56,5,15,8,7,1,7,0.2,5,0,1,1,0,0,"https://fbref.com/en/players/eb3dd471/Luis-Rioja"
2022,"Alavés","La Liga","Unai Ropero","ESP","MF","19",2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7868c973/Unai-Ropero"
2022,"Alavés","La Liga","Antonio Sivera","ESP","GK","24",1996,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2022,"Alavés","La Liga","Mamadou Sylla","SEN","FW,MF","27",1994,4.4,3,0.68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e5ec95f8/Mamadou-Sylla"
2022,"Alavés","La Liga","Tachi","ESP","DF","23",1997,2.7,1,0.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8b625720/Tachi"
2022,"Alavés","La Liga","Nahuel Tenaglia","ARG","DF","25",1996,11.9,19,1.59,12,4,0,1,1,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/66654daa/Nahuel-Tenaglia"
2022,"Alavés","La Liga","Marc Tenas","ESP","FW,MF","20",2001,0.6,2,3.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1c5d79e2/Marc-Tenas"
2022,"Alavés","La Liga","Mircea Ţîrlea","ROU","DF","21",2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/683a1d81/Mircea-Tirlea"
2022,"Alavés","La Liga","Manu Vallejo","ESP","MF,FW","24",1997,4.1,8,1.94,5,3,0,0,0,0,1,0.24,0,1,0,0,0,0,"https://fbref.com/en/players/0bc4e720/Manu-Vallejo"
2022,"Angers","Ligue 1","Mohamed Ali Cho","FRA","FW","17",2004,20.4,42,2.06,23,0,11,2,5,1,7,0.34,4,0,0,2,1,0,"https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho"
2022,"Angers","Ligue 1","Stéphane Bahoken","CMR","FW","29",1992,12.2,15,1.23,13,0,0,1,1,0,1,0.08,1,0,0,0,0,0,"https://fbref.com/en/players/5046b7d4/Stephane-Bahoken"
2022,"Angers","Ligue 1","Abdoulaye Bamba","CIV","DF,FW","31",1990,5.1,7,1.38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba"
2022,"Angers","Ligue 1","Nabil Bentaleb","ALG","MF","26",1994,16.8,18,1.07,15,0,1,1,1,0,1,0.06,1,0,0,0,0,0,"https://fbref.com/en/players/3189f61a/Nabil-Bentaleb"
2022,"Angers","Ligue 1","Paul Bernardoni","FRA","GK","24",1997,13,1,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/28dabd43/Paul-Bernardoni"
2022,"Angers","Ligue 1","Antonin Bobichon","FRA","MF,FW","25",1995,0.4,2,4.74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7d937aa1/Antonin-Bobichon"
2022,"Angers","Ligue 1","Sofiane Boufal","MAR","FW,MF","27",1993,25.9,137,5.29,61,31,21,7,13,4,15,0.58,7,1,1,2,4,0,"https://fbref.com/en/players/b0c71810/Sofiane-Boufal"
2022,"Angers","Ligue 1","Bilal Brahimi","ALG","FW","21",2000,3.8,14,3.73,8,0,4,0,2,0,3,0.8,1,0,1,0,1,0,"https://fbref.com/en/players/02bcaf8e/Bilal-Brahimi"
2022,"Angers","Ligue 1","Jimmy Cabot","FRA","DF","27",1994,22.3,36,1.61,28,4,0,1,1,2,4,0.18,3,0,0,0,1,0,"https://fbref.com/en/players/46359159/Jimmy-Cabot"
2022,"Angers","Ligue 1","Pierrick Capelle","FRA","MF,DF","34",1987,13.3,32,2.41,17,6,3,5,1,0,5,0.38,0,0,2,2,1,0,"https://fbref.com/en/players/79b2399c/Pierrick-Capelle"
2022,"Angers","Ligue 1","Souleyman Doumbia","CIV","DF,FW","24",1996,24.7,42,1.7,32,2,4,1,3,0,1,0.04,1,0,0,0,0,0,"https://fbref.com/en/players/9daeac61/Souleyman-Doumbia"
2022,"Angers","Ligue 1","Enzo Ebosse","CMR","DF","22",1999,21,26,1.24,18,0,1,0,6,1,1,0.05,1,0,0,0,0,0,"https://fbref.com/en/players/9ba7b4fa/Enzo-Ebosse"
2022,"Angers","Ligue 1","Noah Fatar","FRA","DF,MF","19",2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2693f6bc/Noah-Fatar"
2022,"Angers","Ligue 1","Angelo Fulgini","FRA","MF,FW","24",1996,32.5,94,2.89,63,15,2,6,5,3,11,0.34,5,3,0,2,0,1,"https://fbref.com/en/players/4b96c347/Angelo-Fulgini"
2022,"Angers","Ligue 1","Noah Guede-Nadje","FRA","MF","17",2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/94b442c0/Noah-Guede-Nadje"
2022,"Angers","Ligue 1","Marin Jakoliš","CRO","FW","24",1996,2.5,8,3.14,4,0,1,1,1,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/96f4ebc0/Marin-Jakolis"
2022,"Angers","Ligue 1","Vincent Manceau","FRA","DF","32",1989,26.2,12,0.46,12,0,0,0,0,0,4,0.15,4,0,0,0,0,0,"https://fbref.com/en/players/c26a3918/Vincent-Manceau"
2022,"Angers","Ligue 1","Anthony Mandrea","ALG","GK","24",1996,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f7d3a773/Anthony-Mandrea"
2022,"Angers","Ligue 1","Thomas Mangani","FRA","MF","34",1987,24.4,52,2.14,35,15,0,0,0,2,5,0.21,3,1,0,0,0,1,"https://fbref.com/en/players/c801616a/Thomas-Mangani"
2022,"Angers","Ligue 1","Jason Mbock","FRA","FW","21",1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/890bc029/Jason-Mbock"
2022,"Angers","Ligue 1","Farid El Melali","ALG","FW","24",1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d21e361a/Farid-El-Melali"
2022,"Angers","Ligue 1","Batista Mendy","FRA","MF,DF","21",2000,26.8,22,0.82,18,0,1,1,1,1,2,0.07,2,0,0,0,0,0,"https://fbref.com/en/players/e472a6f6/Batista-Mendy"
2022,"Angers","Ligue 1","Casimir Ninga","CHA","FW","28",1993,4.5,4,0.88,3,0,0,0,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/91f2da4c/Casimir-Ninga"
2022,"Angers","Ligue 1","Azzedine Ounahi","MAR","MF","21",2000,18.1,47,2.59,36,0,6,1,2,2,4,0.22,2,0,1,0,1,0,"https://fbref.com/en/players/83299cc0/Azzedine-Ounahi"
2022,"Angers","Ligue 1","Mathias Pereira Lage","POR","DF","24",1996,11.6,22,1.91,13,2,3,2,2,0,5,0.43,2,1,1,0,1,0,"https://fbref.com/en/players/8846a40f/Mathias-Pereira-Lage"
2022,"Angers","Ligue 1","Danijel Petković","MNE","GK","28",1993,15,1,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b98cea65/Danijel-Petkovic"
2022,"Angers","Ligue 1","Waniss Taibi","FRA","MF,FW","19",2002,1.5,1,0.68,0,0,0,1,0,0,1,0.68,0,0,0,1,0,0,"https://fbref.com/en/players/95192fe4/Waniss-Taibi"
2022,"Angers","Ligue 1","Sada Thioub","SEN","FW","26",1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f4bc42b1/Sada-Thioub"
2022,"Angers","Ligue 1","Romain Thomas","FRA","DF","33",1988,28.5,16,0.56,15,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/275e2c51/Romain-Thomas"
2022,"Angers","Ligue 1","Ismaël Traoré","CIV","DF","34",1986,35.7,20,0.56,15,0,0,5,0,0,1,0.03,1,0,0,0,0,0,"https://fbref.com/en/players/b666421b/Ismael-Traore"
2022,"Arminia","Bundesliga","Andrés Andrade Cedeño","PAN","DF","22",1998,11.6,7,0.6,6,0,0,1,0,0,1,0.09,1,0,0,0,0,0,"https://fbref.com/en/players/6ea23758/Andres-Andrade-Cedeno"
2022,"Arminia","Bundesliga","Jacob Barrett Laursen","DEN","DF","26",1994,18.1,22,1.21,12,9,1,0,0,0,1,0.06,1,0,0,0,0,0,"https://fbref.com/en/players/c0d3bd23/Jacob-Barrett-Laursen"
2022,"Arminia","Bundesliga","George Bello","USA","DF","19",2002,4.8,5,1.04,3,0,0,1,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/aca0a525/George-Bello"
2022,"Arminia","Bundesliga","Cédric Brunner","SUI","DF","27",1994,24.3,37,1.53,23,8,1,2,2,1,3,0.12,3,0,0,0,0,0,"https://fbref.com/en/players/f0a37d36/Cedric-Brunner"
2022,"Arminia","Bundesliga","Gonzalo Castro","GER","MF,FW","34",1987,4.8,13,2.69,9,3,0,1,0,0,1,0.21,0,1,0,0,0,0,"https://fbref.com/en/players/68829001/Gonzalo-Castro"
2022,"Arminia","Bundesliga","Lennart-Marten Czyborra","GER","DF","22",1999,1.5,1,0.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7ba1f1ef/Lennart-Marten-Czyborra"
2022,"Arminia","Bundesliga","Mike van der Hoorn","NED","DF","28",1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/25f50295/Mike-van-der-Hoorn"
2022,"Arminia","Bundesliga","Edimilson Fernandes","SUI","MF,FW","25",1996,3.1,10,3.18,9,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3bb625ac/Edimilson-Fernandes"
2022,"Arminia","Bundesliga","Robin Hack","GER","FW,MF","22",1998,15.2,49,3.24,34,3,2,6,4,0,3,0.2,2,0,0,1,0,0,"https://fbref.com/en/players/0174ba21/Robin-Hack"
2022,"Arminia","Bundesliga","Burak İnce","TUR","FW","17",2004,1.5,4,2.59,2,0,0,1,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/683dec01/Burak-Ince"
2022,"Arminia","Bundesliga","Stefanos Kapino","GRE","GK","27",1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/62ba5881/Stefanos-Kapino"
2022,"Arminia","Bundesliga","Fabian Klos","GER","FW","33",1987,15.8,27,1.71,25,0,1,1,0,0,2,0.13,2,0,0,0,0,0,"https://fbref.com/en/players/e21042ae/Fabian-Klos"
2022,"Arminia","Bundesliga","Florian Krüger","GER","FW,MF","22",1999,12.5,25,2.02,22,0,2,1,0,0,2,0.16,2,0,0,0,0,0,"https://fbref.com/en/players/f9f92b5f/Florian-Kruger"
2022,"Arminia","Bundesliga","Fabian Kunze","GER","MF","23",1998,14,18,1.29,12,0,2,0,4,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d25fee56/Fabian-Kunze"
2022,"Arminia","Bundesliga","Bryan Lasme","FRA","FW","22",1998,9.7,19,1.95,13,0,3,1,2,0,1,0.1,1,0,0,0,0,0,"https://fbref.com/en/players/ebac0ace/Bryan-Lasme"
2022,"Arminia","Bundesliga","Nathan de Medina","BEL","DF","23",1997,8.6,1,0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d686dbc0/Nathan-de-Medina"
2022,"Arminia","Bundesliga","Joakim Nilsson","SWE","DF","27",1994,30.4,16,0.53,13,1,1,0,0,1,1,0.03,1,0,0,0,0,0,"https://fbref.com/en/players/c562c5b4/Joakim-Nilsson"
2022,"Arminia","Bundesliga","Masaya Okugawa","JPN","MF,FW","25",1996,28.1,43,1.53,34,0,3,2,3,1,3,0.11,2,0,0,1,0,0,"https://fbref.com/en/players/63b9cc6d/Masaya-Okugawa"
2022,"Arminia","Bundesliga","Stefan Ortega","GER","GK","28",1992,33,16,0.48,14,2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c1242d4e/Stefan-Ortega"
2022,"Arminia","Bundesliga","Amos Pieper","GER","DF","23",1998,26.4,13,0.49,9,0,0,2,0,2,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/526ea7cc/Amos-Pieper"
2022,"Arminia","Bundesliga","Manuel Prietl","AUT","MF","29",1991,23.6,29,1.23,19,0,6,2,0,2,4,0.17,4,0,0,0,0,0,"https://fbref.com/en/players/901c0f97/Manuel-Prietl"
2022,"Arminia","Bundesliga","Guilherme Ramos","POR","DF","23",1997,10.1,5,0.5,4,0,0,0,0,1,1,0.1,1,0,0,0,0,0,"https://fbref.com/en/players/df9c3473/Guilherme-Ramos"
2022,"Arminia","Bundesliga","Alessandro Schöpf","AUT","MF","27",1994,26.6,91,3.42,64,11,3,6,7,0,5,0.19,4,0,0,0,1,0,"https://fbref.com/en/players/106bca06/Alessandro-Schopf"
2022,"Arminia","Bundesliga","Janni Serra","GER","FW","23",1998,12.4,20,1.61,15,0,1,3,1,0,3,0.24,1,0,1,1,0,0,"https://fbref.com/en/players/40b58bfc/Janni-Serra"
2022,"Arminia","Bundesliga","Sebastian Vasiliadis","GRE","MF","23",1997,13.3,24,1.81,22,0,1,0,0,1,1,0.08,1,0,0,0,0,0,"https://fbref.com/en/players/d3112d86/Sebastian-Vasiliadis"
2022,"Arminia","Bundesliga","Patrick Wimmer","AUT","FW,MF","20",2001,22.8,91,3.99,45,15,13,8,9,1,10,0.44,6,1,0,1,2,0,"https://fbref.com/en/players/cb11b429/Patrick-Wimmer"
2022,"Arsenal","Premier League","Pierre-Emerick Aubameyang","GAB","FW","32",1989,11.5,22,1.91,14,0,2,4,2,0,3,0.26,2,0,0,1,0,0,"https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang"
2022,"Arsenal","Premier League","Folarin Balogun","USA","FW","20",2001,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/31822f8c/Folarin-Balogun"
2022,"Arsenal","Premier League","Calum Chambers","ENG","DF","26",1995,1.9,1,0.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/dc6f5bdd/Calum-Chambers"
2022,"Arsenal","Premier League","Mohamed Elneny","EGY","MF","29",1992,9,17,1.9,15,1,0,1,0,0,3,0.33,3,0,0,0,0,0,"https://fbref.com/en/players/47a34c4f/Mohamed-Elneny"
2022,"Arsenal","Premier League","Rob Holding","ENG","DF","25",1995,9.4,3,0.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d79a8c87/Rob-Holding"
2022,"Arsenal","Premier League","Sead Kolašinac","BIH","DF","28",1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3935e52e/Sead-Kolasinac"
2022,"Arsenal","Premier League","Alexandre Lacazette","FRA","FW","30",1991,19.8,71,3.58,49,0,4,6,10,2,9,0.45,6,0,0,1,1,1,"https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette"
2022,"Arsenal","Premier League","Bernd Leno","GER","GK","29",1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
2022,"Arsenal","Premier League","Gabriel Magalhães","BRA","DF","23",1997,34,22,0.65,19,0,0,2,0,1,1,0.03,1,0,0,0,0,0,"https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes"
2022,"Arsenal","Premier League","Ainsley Maitland-Niles","ENG","MF","23",1997,3,7,2.35,5,0,0,1,0,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles"
2022,"Arsenal","Premier League","Pablo Marí","ESP","DF","27",1993,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/aa54ec6f/Pablo-Mari"
2022,"Arsenal","Premier League","Gabriel Martinelli","BRA","FW,MF","20",2001,20.7,72,3.49,48,4,8,8,2,2,13,0.63,6,2,2,3,0,0,"https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli"
2022,"Arsenal","Premier League","Reiss Nelson","ENG","FW","21",1999,0.2,3,13.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson"
2022,"Arsenal","Premier League","Eddie Nketiah","ENG","FW","22",1999,9.3,26,2.81,17,0,5,3,1,0,2,0.22,1,0,0,1,0,0,"https://fbref.com/en/players/a53649b7/Eddie-Nketiah"
2022,"Arsenal","Premier League","Thomas Partey","GHA","MF","28",1993,22.5,61,2.71,49,0,5,4,3,0,4,0.18,3,0,0,1,0,0,"https://fbref.com/en/players/529f49ab/Thomas-Partey"
2022,"Arsenal","Premier League","Nicolas Pépé","CIV","FW,MF","26",1995,7.7,36,4.66,20,9,4,3,0,0,4,0.52,1,0,0,3,0,0,"https://fbref.com/en/players/57e3f0c7/Nicolas-Pepe"
2022,"Arsenal","Premier League","Aaron Ramsdale","ENG","GK","23",1998,34,2,0.06,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale"
2022,"Arsenal","Premier League","Bukayo Saka","ENG","FW,MF","19",2001,33.1,158,4.78,108,20,9,10,11,0,18,0.54,9,4,0,2,3,0,"https://fbref.com/en/players/bc7dc64d/Bukayo-Saka"
2022,"Arsenal","Premier League","Albert Sambi Lokonga","BEL","MF","21",1999,12.6,39,3.09,36,0,0,1,1,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga"
2022,"Arsenal","Premier League","Emile Smith Rowe","ENG","MF,FW","21",2000,21.3,67,3.14,52,4,5,4,2,0,6,0.28,5,1,0,0,0,0,"https://fbref.com/en/players/17695062/Emile-Smith-Rowe"
2022,"Arsenal","Premier League","Cédric Soares","POR","DF","29",1991,16.5,37,2.24,27,9,0,1,0,0,3,0.18,2,1,0,0,0,0,"https://fbref.com/en/players/839c14e1/Cedric-Soares"
2022,"Arsenal","Premier League","Nuno Tavares","POR","DF","21",2000,13.1,27,2.07,19,0,4,1,2,1,3,0.23,2,0,0,1,0,0,"https://fbref.com/en/players/a65c844b/Nuno-Tavares"
2022,"Arsenal","Premier League","Kieran Tierney","SCO","DF","24",1997,21.3,44,2.07,36,5,1,1,1,0,2,0.09,2,0,0,0,0,0,"https://fbref.com/en/players/fce2302c/Kieran-Tierney"
2022,"Arsenal","Premier League","Takehiro Tomiyasu","JPN","DF","22",1998,18.7,34,1.82,32,0,1,0,0,1,4,0.21,4,0,0,0,0,0,"https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu"
2022,"Arsenal","Premier League","Ben White","ENG","DF","23",1997,32,33,1.03,25,0,2,4,1,1,4,0.12,2,0,2,0,0,0,"https://fbref.com/en/players/35e413f1/Ben-White"
2022,"Arsenal","Premier League","Granit Xhaka","SUI","MF,DF","28",1992,25.9,87,3.36,80,2,1,2,1,1,5,0.19,5,0,0,0,0,0,"https://fbref.com/en/players/e61b8aee/Granit-Xhaka"
2022,"Arsenal","Premier League","Martin Ødegaard","NOR","MF,FW","22",1998,30.9,159,5.14,129,12,6,9,2,1,15,0.48,15,0,0,0,0,0,"https://fbref.com/en/players/79300479/Martin-Odegaard"
2022,"Aston Villa","Premier League","Cameron Archer","ENG","FW,MF","20",2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/05e8ca6d/Cameron-Archer"
2022,"Aston Villa","Premier League","Leon Bailey","JAM","FW,MF","23",1997,8.5,20,2.37,15,0,1,2,2,0,1,0.12,1,0,0,0,0,0,"https://fbref.com/en/players/3a233281/Leon-Bailey"
2022,"Aston Villa","Premier League","Emi Buendía","ARG","MF,FW","24",1996,21.1,83,3.93,65,3,7,3,5,0,10,0.47,7,0,2,1,0,0,"https://fbref.com/en/players/66b76d44/Emi-Buendia"
2022,"Aston Villa","Premier League","Matty Cash","POL","DF","23",1997,37.5,65,1.73,45,7,6,2,5,0,7,0.19,4,2,1,0,0,0,"https://fbref.com/en/players/2389cdc2/Matty-Cash"
2022,"Aston Villa","Premier League","Calum Chambers","ENG","DF","26",1995,9.2,11,1.19,10,0,0,1,0,0,1,0.11,1,0,0,0,0,0,"https://fbref.com/en/players/dc6f5bdd/Calum-Chambers"
2022,"Aston Villa","Premier League","Carney Chukwuemeka","ENG","MF,FW","17",2003,3.3,5,1.49,5,0,0,0,0,0,2,0.59,2,0,0,0,0,0,"https://fbref.com/en/players/b2f9c73e/Carney-Chukwuemeka"
2022,"Aston Villa","Premier League","Philippe Coutinho","BRA","MF,FW","29",1992,14.8,62,4.19,47,4,3,6,2,0,8,0.54,6,0,1,1,0,0,"https://fbref.com/en/players/0ef89a37/Philippe-Coutinho"
2022,"Aston Villa","Premier League","Keinan Davis","ENG","FW","23",1998,0.1,1,7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9deaf2c8/Keinan-Davis"
2022,"Aston Villa","Premier League","Lucas Digne","FRA","DF","28",1993,14.1,53,3.75,37,14,1,0,1,0,8,0.57,5,2,0,0,1,0,"https://fbref.com/en/players/1b84dbe1/Lucas-Digne"
2022,"Aston Villa","Premier League","Anwar El Ghazi","NED","FW,MF","26",1995,4.3,11,2.56,8,1,1,0,1,0,2,0.47,2,0,0,0,0,0,"https://fbref.com/en/players/ffa90327/Anwar-El-Ghazi"
2022,"Aston Villa","Premier League","Kortney Hause","ENG","DF","26",1995,4.4,2,0.45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/bf8fad51/Kortney-Hause"
2022,"Aston Villa","Premier League","Danny Ings","ENG","FW","29",1992,21.1,32,1.52,25,0,2,4,1,0,9,0.43,9,0,0,0,0,0,"https://fbref.com/en/players/07802f7f/Danny-Ings"
