"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Url"
2022,"Alavés","La Liga","Martin Agirregabiria","ESP","DF","25",1996,18,32,1.78,25,3,2,0,2,0,3,0.17,2,0,1,0,0,0,"https://fbref.com/en/players/355c883a/Martin-Agirregabiria"
2022,"Alavés","La Liga","Rubén Duarte","ESP","DF","25",1995,29.1,58,1.99,36,16,0,0,3,3,5,0.17,3,1,0,0,1,0,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
2022,"Alavés","La Liga","Gonzalo Escalante","ARG","MF","28",1993,14.4,18,1.25,13,0,0,4,1,0,3,0.21,1,0,0,1,1,0,"https://fbref.com/en/players/3f79a1c8/Gonzalo-Escalante"
2022,"Alavés","La Liga","Manu García","ESP","MF","23",1998,12,47,3.92,26,14,3,1,2,1,4,0.33,2,1,1,0,0,0,"https://fbref.com/en/players/6ed1a2a2/Manu-Garcia"
2022,"Alavés","La Liga","Saúl García","ESP","MF","26",1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/dafa5038/Saul-Garcia"
2022,"Alavés","La Liga","John Guidetti","SWE","FW,MF","29",1992,3.1,11,3.55,5,0,2,1,2,1,2,0.65,1,0,0,0,1,0,"https://fbref.com/en/players/99bebd12/John-Guidetti"
2022,"Alavés","La Liga","Jason","ESP","MF,FW","27",1994,7.5,33,4.38,15,13,3,0,2,0,3,0.4,1,1,0,0,1,0,"https://fbref.com/en/players/9038c2a1/Jason"
2022,"Alavés","La Liga","Joselu","ESP","FW","31",1990,34.7,83,2.39,52,1,4,15,11,0,9,0.26,6,0,1,1,1,0,"https://fbref.com/en/players/6265208f/Joselu"
2022,"Alavés","La Liga","Víctor Laguardia","ESP","DF","31",1989,33.8,16,0.47,12,3,0,1,0,0,3,0.09,1,1,0,1,0,0,"https://fbref.com/en/players/b7c99b9b/Victor-Laguardia"
2022,"Alavés","La Liga","Florian Lejeune","FRA","DF","30",1991,30,12,0.4,10,2,0,0,0,0,1,0.03,1,0,0,0,0,0,"https://fbref.com/en/players/6eaed4eb/Florian-Lejeune"
2022,"Alavés","La Liga","Javi López","ESP","DF","19",2002,5.1,6,1.17,4,1,0,0,1,0,1,0.19,1,0,0,0,0,0,"https://fbref.com/en/players/e9ada8cf/Javi-Lopez"
2022,"Alavés","La Liga","Iván Martín","ESP","MF,FW","22",1999,1.8,1,0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ae48c5cb/Ivan-Martin"
2022,"Alavés","La Liga","Tomás Mendes","ESP","MF","16",2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/45f771db/Tomas-Mendes"
2022,"Alavés","La Liga","Édgar Méndez","ESP","FW,MF","31",1990,17.9,31,1.73,25,0,1,2,2,1,1,0.06,1,0,0,0,0,0,"https://fbref.com/en/players/aed746df/Edgar-Mendez"
2022,"Alavés","La Liga","Matt Miazga","USA","DF","26",1995,9.3,4,0.43,2,0,0,2,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9fc0f253/Matt-Miazga"
2022,"Alavés","La Liga","Miguel","ESP","FW,MF","21",1999,9.2,22,2.39,10,0,2,3,7,0,2,0.22,1,0,0,0,1,0,"https://fbref.com/en/players/6763373d/Miguel"
2022,"Alavés","La Liga","Toni Moya","ESP","MF","23",1998,15.4,32,2.08,9,21,1,1,0,0,3,0.19,1,1,0,1,0,0,"https://fbref.com/en/players/9e098912/Toni-Moya"
2022,"Alavés","La Liga","Mamadou N'Diaye","","MF","24",1996,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ee37317d/Mamadou-NDiaye"
2022,"Alavés","La Liga","Ximo Navarro","ESP","DF","31",1990,15,11,0.73,6,1,0,2,2,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8db394aa/Ximo-Navarro"
2022,"Alavés","La Liga","Jesús Owono","EQG","GK","20",2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
