"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Url"
2019,"Alavés","La Liga","Martin Agirregabiria","ESP","DF","22",1996,22.6,22,0.97,21,0,1,0,0,0,1,0.04,1,0,0,0,0,0,"https://fbref.com/en/players/355c883a/Martin-Agirregabiria"
2019,"Alavés","La Liga","Borja Bastón","ESP","FW","25",1992,16,20,1.25,14,0,2,3,1,0,1,0.06,1,0,0,0,0,0,"https://fbref.com/en/players/8c44e37b/Borja-Baston"
2019,"Alavés","La Liga","Alejandro Blanco","ESP","FW,MF","19",1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c4dce677/Alejandro-Blanco"
2019,"Alavés","La Liga","Darko Brašanac","SRB","MF","26",1992,17.6,30,1.71,24,2,1,2,1,0,1,0.06,1,0,0,0,0,0,"https://fbref.com/en/players/4accb7e0/Darko-Brasanac"
2019,"Alavés","La Liga","Burgui","ESP","MF,FW","24",1993,6.2,27,4.38,21,4,0,0,2,0,2,0.32,2,0,0,0,0,0,"https://fbref.com/en/players/45e304c8/Burgui"
2019,"Alavés","La Liga","Jonathan Calleri","ARG","FW","24",1993,31.9,80,2.51,53,0,8,7,11,1,4,0.13,1,0,0,1,2,0,"https://fbref.com/en/players/6922f806/Jonathan-Calleri"
2019,"Alavés","La Liga","Rubén Duarte","ESP","DF","22",1995,30.8,55,1.79,38,3,0,6,8,0,3,0.1,2,0,0,1,0,0,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
2019,"Alavés","La Liga","Rodrigo Ely","BRA","DF","24",1993,4.8,5,1.05,4,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
2019,"Alavés","La Liga","Manu García","ESP","MF","32",1986,25.9,41,1.58,28,0,1,3,7,2,1,0.04,1,0,0,0,0,0,"https://fbref.com/en/players/05a4465d/Manu-Garcia"
2019,"Alavés","La Liga","Ibai Gómez","ESP","MF,FW","28",1989,16.1,46,2.86,24,14,3,3,2,0,4,0.25,3,0,1,0,0,0,"https://fbref.com/en/players/9d2a3d5f/Ibai-Gomez"
2019,"Alavés","La Liga","John Guidetti","SWE","FW","26",1992,7,14,2,14,0,0,0,0,0,2,0.29,2,0,0,0,0,0,"https://fbref.com/en/players/99bebd12/John-Guidetti"
2019,"Alavés","La Liga","Takashi Inui","JPN","MF,FW","30",1988,9.2,16,1.74,9,0,2,1,4,0,3,0.33,2,0,0,0,1,0,"https://fbref.com/en/players/61bd33d0/Takashi-Inui"
2019,"Alavés","La Liga","Jony","ESP","MF,FW","27",1991,33,137,4.15,68,49,10,4,4,2,13,0.39,6,6,1,0,0,0,"https://fbref.com/en/players/244f57b9/Jony"
2019,"Alavés","La Liga","Víctor Laguardia","ESP","DF","28",1989,36,19,0.53,12,3,0,2,2,0,3,0.08,3,0,0,0,0,0,"https://fbref.com/en/players/b7c99b9b/Victor-Laguardia"
2019,"Alavés","La Liga","Adrián Marín","ESP","DF,MF","21",1997,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b7f2edff/Adrian-Marin"
2019,"Alavés","La Liga","Guillermo Maripán","CHI","DF","24",1994,22.3,18,0.81,11,1,0,5,1,0,5,0.22,2,1,0,2,0,0,"https://fbref.com/en/players/d9764034/Guillermo-Maripan"
2019,"Alavés","La Liga","Ximo Navarro","ESP","DF","28",1990,28.1,28,0.99,17,2,4,1,4,0,4,0.14,3,0,0,0,1,0,"https://fbref.com/en/players/8db394aa/Ximo-Navarro"
2019,"Alavés","La Liga","Fernando Pacheco","ESP","GK","26",1992,35,10,0.29,6,4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
2019,"Alavés","La Liga","Tomás Pina Isla","ESP","MF","30",1987,26,53,2.04,46,1,1,0,5,0,2,0.08,1,0,0,0,1,0,"https://fbref.com/en/players/e54bd0a2/Tomas-Pina-Isla"
2019,"Alavés","La Liga","Diego Rolán","URU","MF,FW","25",1993,3.3,7,2.11,3,0,1,1,2,0,1,0.3,0,0,0,1,0,0,"https://fbref.com/en/players/d1491e00/Diego-Rolan"
2019,"Alavés","La Liga","Antonio Sivera","ESP","GK","21",1996,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2019,"Alavés","La Liga","Rubén Sobrino","ESP","FW,MF","26",1992,10.7,22,2.05,15,0,2,3,2,0,2,0.19,1,0,0,1,0,0,"https://fbref.com/en/players/19b776e9/Ruben-Sobrino"
2019,"Alavés","La Liga","Daniel Torres","COL","MF","28",1989,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/87882adc/Daniel-Torres"
2019,"Alavés","La Liga","Patrick Twumasi","GHA","MF,FW","24",1994,1.9,9,4.76,4,2,1,2,0,0,3,1.59,2,0,1,0,0,0,"https://fbref.com/en/players/e3993b65/Patrick-Twumasi"
2019,"Alavés","La Liga","Carlos Vigaray","ESP","DF","23",1994,7.2,11,1.53,6,5,0,0,0,0,1,0.14,0,1,0,0,0,0,"https://fbref.com/en/players/f69d934e/Carlos-Vigaray"
2019,"Alavés","La Liga","Wakaso","GHA","MF","28",1990,18.5,29,1.56,19,2,1,4,2,1,3,0.16,2,0,0,0,0,1,"https://fbref.com/en/players/999908af/Wakaso"
2019,"Amiens","Ligue 1","Khaled Adénon","BEN","DF","33",1985,22.2,11,0.5,8,0,0,1,2,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/16714a62/Khaled-Adenon"
2019,"Amiens","Ligue 1","Alexis Blin","FRA","MF","21",1996,22.1,25,1.13,22,0,0,0,1,2,2,0.09,2,0,0,0,0,0,"https://fbref.com/en/players/c69ef855/Alexis-Blin"
2019,"Amiens","Ligue 1","Mathieu Bodmer","FRA","MF,FW","35",1982,11.9,28,2.35,24,0,0,1,2,1,2,0.17,1,0,0,1,0,0,"https://fbref.com/en/players/f3642ba8/Mathieu-Bodmer"
2019,"Amiens","Ligue 1","Quentin Cornette","FRA","FW,MF","24",1994,2.3,7,3,3,1,1,0,2,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5d42d487/Quentin-Cornette"
2019,"Amiens","Ligue 1","Bakaye Dibassy","MLI","DF","28",1989,32.7,21,0.64,17,1,3,0,0,0,1,0.03,1,0,0,0,0,0,"https://fbref.com/en/players/247accfd/Bakaye-Dibassy"
