"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Url"
2020,"Alavés","La Liga","Martin Agirregabiria","ESP","DF","23",1996,23.3,25,1.07,18,2,3,0,2,0,3,0.13,3,0,0,0,0,0,"https://fbref.com/en/players/355c883a/Martin-Agirregabiria"
2020,"Alavés","La Liga","Burgui","ESP","MF","25",1993,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/45e304c8/Burgui"
2020,"Alavés","La Liga","Oliver Burke","SCO","MF,FW","22",1997,15.9,18,1.13,12,0,5,1,0,0,3,0.19,2,0,1,0,0,0,"https://fbref.com/en/players/f631c17f/Oliver-Burke"
2020,"Alavés","La Liga","Víctor Camarasa","ESP","MF","25",1994,14.4,24,1.67,18,4,1,0,1,0,3,0.21,1,2,0,0,0,0,"https://fbref.com/en/players/b2d03887/Victor-Camarasa"
2020,"Alavés","La Liga","Rubén Duarte","ESP","DF","23",1995,29.6,40,1.35,23,6,0,4,6,1,7,0.24,2,2,0,1,2,0,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
2020,"Alavés","La Liga","Rodrigo Ely","BRA","DF","25",1993,23.6,3,0.13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
2020,"Alavés","La Liga","Ljubomir Fejsa","SRB","MF","30",1988,8.7,4,0.46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/874d7a32/Ljubomir-Fejsa"
2020,"Alavés","La Liga","Manu García","ESP","MF","33",1986,21.9,14,0.64,7,0,0,1,5,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/05a4465d/Manu-Garcia"
2020,"Alavés","La Liga","John Guidetti","SWE","FW,MF","27",1992,1.1,2,1.87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/99bebd12/John-Guidetti"
2020,"Alavés","La Liga","Joselu","ESP","FW","29",1990,30.9,67,2.17,40,0,0,13,13,1,13,0.42,6,0,0,5,2,0,"https://fbref.com/en/players/6265208f/Joselu"
2020,"Alavés","La Liga","Víctor Laguardia","ESP","DF","29",1989,29.5,20,0.68,18,1,0,0,0,1,2,0.07,2,0,0,0,0,0,"https://fbref.com/en/players/b7c99b9b/Victor-Laguardia"
2020,"Alavés","La Liga","Javi López","ESP","DF","17",2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e9ada8cf/Javi-Lopez"
2020,"Alavés","La Liga","José Luis Rodríguez","PAN","FW","21",1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b333b014/Jose-Luis-Rodriguez"
2020,"Alavés","La Liga","Lisandro Magallán","ARG","DF","25",1993,13.3,5,0.38,4,1,0,0,0,0,1,0.08,1,0,0,0,0,0,"https://fbref.com/en/players/01a49bd2/Lisandro-Magallan"
2020,"Alavés","La Liga","Abdallahi Mahmoud","MTN","MF","19",2000,1.7,1,0.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ab99e4a0/Abdallahi-Mahmoud"
2020,"Alavés","La Liga","Adrián Marín","ESP","DF","22",1997,9.5,13,1.37,10,2,0,1,0,0,1,0.11,1,0,0,0,0,0,"https://fbref.com/en/players/b7f2edff/Adrian-Marin"
2020,"Alavés","La Liga","Guillermo Maripán","CHI","DF","25",1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d9764034/Guillermo-Maripan"
2020,"Alavés","La Liga","Édgar Méndez","ESP","MF,FW","29",1990,9.6,14,1.46,9,0,3,0,2,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/aed746df/Edgar-Mendez"
2020,"Alavés","La Liga","Javier Muñoz","ESP","FW,MF","24",1995,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ec7c84c2/Javier-Munoz"
2020,"Alavés","La Liga","Ximo Navarro","ESP","DF","29",1990,21.1,10,0.47,5,4,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8db394aa/Ximo-Navarro"
2020,"Alavés","La Liga","Fernando Pacheco","ESP","GK","27",1992,26.2,7,0.27,6,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
